,Position,Driver,Car,Time,Laps
1,1,Mika Hakkinen,McLaren Mercedes,1:26.362,11
2,2,David Coulthard,McLaren Mercedes,1:26.384,10
3,3,Michael Schumacher,Ferrari,1:26.538,12
4,4,Eddie Irvine,Ferrari,1:26.993,11
22,5,Jacques Villeneuve,BAR Supertec,1:27.313,12
16,6,Rubens Barrichello,Stewart Ford,1:27.409,11
8,7,Heinz-Harald Frentzen,Jordan Mugen Honda,1:27.613,10
7,8,Damon Hill,Jordan Mugen Honda,1:27.708,11
6,9,Ralf Schumacher,Williams Supertec,1:27.770,12
5,10,Alessandro Zanardi,Williams Supertec,1:28.142,11
18,11,Olivier Panis,Prost Peugeot,1:28.205,12
17,12,Johnny Herbert,Stewart Ford,1:28.246,11
11,13,Jean Alesi,Sauber Petronas,1:28.253,12
19,14,Jarno Trulli,Prost Peugeot,1:28.403,6
12,15,Pedro Diniz,Sauber Petronas,1:28.599,12
9,16,Giancarlo Fisichella,Benetton Playlife,1:28.750,12
10,17,Alexander Wurz,Benetton Playlife,1:28.765,11
14,18,Pedro de la Rosa,Arrows,1:29.293,11
23,19,Mika Salo,BAR Supertec,1:29.451,7
15,20,Toranosuke Takagi,Arrows,1:29.656,12
21,21,Marc Gene,Minardi Ford,1:30.035,12
20,22,Luca Badoer,Minardi Ford,1:30.945,12
