,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,53,1:31:50.744,25
6,2,Nico Rosberg,Mercedes,53,+13.657s,18
77,3,Valtteri Bottas,Williams Mercedes,53,+17.425s,15
22,4,Jenson Button,McLaren Mercedes,53,+30.234s,12
20,5,Kevin Magnussen,McLaren Mercedes,53,+53.616s,10
14,6,Fernando Alonso,Ferrari,53,+60.016s,8
3,7,Daniel Ricciardo,Red Bull Racing Renault,53,+61.812s,6
1,8,Sebastian Vettel,Red Bull Racing Renault,53,+66.185s,4
7,9,Kimi Räikkönen,Ferrari,53,+78.877s,2
11,10,Sergio Perez,Force India Mercedes,53,+80.067s,1
19,11,Felipe Massa,Williams Mercedes,53,+80.877s,0
27,12,Nico Hulkenberg,Force India Mercedes,53,+81.309s,0
25,13,Jean-Eric Vergne,STR Renault,53,+97.295s,0
26,14,Daniil Kvyat,STR Renault,52,+1 lap,0
21,15,Esteban Gutierrez ,Sauber Ferrari,52,+1 lap,0
99,16,Adrian Sutil,Sauber Ferrari,52,+1 lap,0
8,17,Romain Grosjean,Lotus Renault,52,+1 lap,0
13,18,Pastor Maldonado,Lotus Renault,52,+1 lap,0
9,19,Marcus Ericsson,Caterham Renault,51,+2 laps,0
10,NC,Kamui Kobayashi,Caterham Renault,21,DNF,0
4,NC,Max Chilton,Marussia Ferrari,9,DNF,0
