,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:39.630,27
20,2,Kevin Magnussen,McLaren Mercedes,+0.864s,32
14,3,Fernando Alonso,Ferrari,+0.874s,32
6,4,Nico Rosberg,Mercedes,+0.912s,30
77,5,Valtteri Bottas,Williams Mercedes,+0.943s,33
22,6,Jenson Button,McLaren Mercedes,+1.088s,32
19,7,Felipe Massa,Williams Mercedes,+1.101s,30
26,8,Daniil Kvyat,STR Renault,+1.478s,32
1,9,Sebastian Vettel,Red Bull Racing Renault,+1.766s,30
25,10,Jean-Eric Vergne,STR Renault,+1.901s,33
7,11,Kimi Räikkönen,Ferrari,+2.000s,24
27,12,Nico Hulkenberg,Force India Mercedes,+2.047s,27
3,13,Daniel Ricciardo,Red Bull Racing Renault,+2.431s,25
11,14,Sergio Perez,Force India Mercedes,+2.460s,29
99,15,Adrian Sutil,Sauber Ferrari,+2.603s,31
8,16,Romain Grosjean,Lotus Renault,+3.262s,30
13,17,Pastor Maldonado,Lotus Renault,+3.275s,33
21,18,Esteban Gutierrez ,Sauber Ferrari,+3.425s,33
9,19,Marcus Ericsson,Caterham Renault,+4.505s,22
4,20,Max Chilton,Marussia Ferrari,+4.900s,29
10,21,Kamui Kobayashi,Caterham Renault,+5.322s,27
