,Position,Driver,Car,Lap,Time
2,1,Alain Prost,McLaren Honda,45,1:26.795
1,2,Ayrton Senna,McLaren Honda,37,1:27.273
5,3,Thierry Boutsen,Williams Renault,45,1:29.571
27,4,Nigel Mansell,Ferrari,18,1:29.849
19,5,Alessandro Nannini,Benetton Ford,49,1:29.868
6,6,Riccardo Patrese,Williams Renault,13,1:29.959
22,7,Andrea de Cesaris,Dallara Ford,52,1:29.995
3,8,Jonathan  Palmer,Tyrrell Ford,49,1:30.164
40,9,Gabriele Tarquini,AGS Ford,53,1:30.364
21,10,Alex Caffi,Dallara Ford,44,1:30.371
10,11,Eddie  Cheever,Arrows Ford,30,1:30.728
9,12,Derek Warwick,Arrows Ford,36,1:30.749
11,13,Nelson Piquet,Lotus Judd,28,1:30.771
20,14,Johnny Herbert,Benetton Ford,50,1:31.020
17,15,Nicola Larini,Osella Ford,15,1:31.791
24,16,Luis Perez-Sala,Minardi Ford,38,1:31.948
12,17,Satoru Nakajima,Lotus Judd,43,1:31.970
15,18,Mauricio Gugelmin,March Judd,16,1:32.038
7,19,Martin Brundle,Brabham Judd,27,1:32.189
8,20,Stefano Modena,Brabham Judd,18,1:32.618
28,21,Gerhard Berger,Ferrari,3,1:33.319
26,22,Olivier Grouillard,Ligier Ford,3,1:34.472
23,23,Pierluigi Martini,Minardi Ford,5,1:34.525
16,24,Ivan Capelli,March Judd,1,1:42.912
