,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:26.873
1,2,Ayrton Senna,McLaren Honda,+0.305s
6,3,Riccardo Patrese,Williams Renault,+1.236s
27,4,Nigel Mansell,Ferrari,+1.324s
28,5,Gerhard Berger,Ferrari,+1.636s
5,6,Thierry Boutsen,Williams Renault,+1.737s
19,7,Alessandro Nannini,Benetton Ford,+2.095s
8,8,Stefano Modena,Brabham Judd,+2.637s
26,9,Olivier Grouillard,Ligier Ford,+2.707s
16,10,Ivan Capelli,March Judd,+2.733s
9,11,Derek Warwick,Arrows Ford,+2.794s
22,12,Andrea de Cesaris,Dallara Ford,+2.850s
24,13,Luis Perez-Sala,Minardi Ford,+2.854s
11,14,Nelson Piquet,Lotus Judd,+2.861s
7,15,Martin Brundle,Brabham Judd,+2.919s
10,16,Eddie  Cheever,Arrows Ford,+3.113s
23,17,Pierluigi Martini,Minardi Ford,+3.336s
30,18,Philippe Alliot,Lola Lamborghini,+3.441s
17,19,Nicola Larini,Osella Ford,+3.718s
40,20,Gabriele Tarquini,AGS Ford,+3.785s
21,21,Alex Caffi,Dallara Ford,+3.798s
20,22,Johnny Herbert,Benetton Ford,+3.935s
38,23,Christian Danner,Rial Ford,+3.988s
25,24,Rene Arnoux,Ligier Ford,+4.685s
15,25,Mauricio Gugelmin,March Judd,+4.852s
3,26,Jonathan  Palmer,Tyrrell Ford,+4.905s
29,27,Yannick Dalmas,Lola Lamborghini,+5.427s
31,28,Roberto Moreno,Coloni Ford,+6.134s
12,29,Satoru Nakajima,Lotus Judd,+7.025s
4,30,Michele Alboreto,Tyrrell Ford,+7.428s
