,Position,Driver,Car,Time / Gap
2,1,Alain Prost,McLaren Honda,1:26.736
1,2,Ayrton Senna,McLaren Honda,+0.233s
28,3,Gerhard Berger,Ferrari,+1.279s
6,4,Riccardo Patrese,Williams Renault,+1.501s
5,5,Thierry Boutsen,Williams Renault,+1.995s
27,6,Nigel Mansell,Ferrari,+2.279s
19,7,Alessandro Nannini,Benetton Ford,+2.359s
8,8,Stefano Modena,Brabham Judd,+2.498s
40,9,Gabriele Tarquini,AGS Ford,+3.343s
38,10,Christian Danner,Rial Ford,+3.354s
7,11,Martin Brundle,Brabham Judd,+3.401s
21,12,Alex Caffi,Dallara Ford,+3.427s
26,13,Olivier Grouillard,Ligier Ford,+3.442s
12,14,Satoru Nakajima,Lotus Judd,+3.444s
22,15,Andrea de Cesaris,Dallara Ford,+3.501s
10,16,Eddie  Cheever,Arrows Ford,+3.609s
20,17,Johnny Herbert,Benetton Ford,+3.620s
23,18,Pierluigi Martini,Minardi Ford,+3.710s
9,19,Derek Warwick,Arrows Ford,+3.898s
25,20,Rene Arnoux,Ligier Ford,+4.064s
16,21,Ivan Capelli,March Judd,+4.073s
24,22,Luis Perez-Sala,Minardi Ford,+4.224s
3,23,Jonathan  Palmer,Tyrrell Ford,+4.412s
30,24,Philippe Alliot,Lola Lamborghini,+4.485s
15,25,Mauricio Gugelmin,March Judd,+4.531s
31,26,Roberto Moreno,Coloni Ford,+4.816s
11,27,Nelson Piquet,Lotus Judd,+6.141s
17,28,Nicola Larini,Osella Ford,+6.286s
4,29,Michele Alboreto,Tyrrell Ford,+8.656s
29,30,Yannick Dalmas,Lola Lamborghini,
