,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:20.856,13
9,2,Jenson Button,BAR Honda,+0.309s,11
2,3,Rubens Barrichello,Ferrari,+0.727s,10
3,4,Juan Pablo Montoya,Williams BMW,+0.908s,14
4,5,Ralf Schumacher,Williams BMW,+1.008s,13
8,6,Fernando Alonso,Renault,+1.098s,13
10,7,Takuma Sato,BAR Honda,+1.157s,11
5,8,David Coulthard,McLaren Mercedes,+1.195s,6
6,9,Kimi Räikkönen,McLaren Mercedes,+1.308s,5
7,10,Jarno Trulli,Renault,+1.606s,13
14,11,Mark Webber,Jaguar Cosworth,+1.851s,10
17,12,Olivier Panis,Toyota,+2.029s,14
11,13,Giancarlo Fisichella,Sauber Petronas,+2.135s,6
12,14,Felipe Massa,Sauber Petronas,+2.249s,10
16,15,Cristiano da Matta,Toyota,+2.626s,17
19,16,Giorgio Pantano,Jordan Ford,+3.399s,13
18,17,Nick Heidfeld,Jordan Ford,+4.051s,10
20,18,Gianmaria Bruni,Minardi Cosworth,+5.927s,11
21,19,Zsolt Baumgartner,Minardi Cosworth,+6.683s,13
15,20,Christian Klien,Jaguar Cosworth,,2
