,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,10,1:20.411,220.850
9,2,Jenson Button,BAR Honda,28,1:21.201,218.701
8,3,Fernando Alonso,Renault,59,1:21.650,217.499
7,4,Jarno Trulli,Renault,11,1:21.666,217.456
4,5,Ralf Schumacher,Williams BMW,30,1:21.689,217.395
3,6,Juan Pablo Montoya,Williams BMW,27,1:21.870,216.914
2,7,Rubens Barrichello,Ferrari,31,1:21.873,216.906
10,8,Takuma Sato,BAR Honda,44,1:21.929,216.758
6,9,Kimi Räikkönen,McLaren Mercedes,39,1:22.500,215.258
11,10,Giancarlo Fisichella,Sauber Petronas,60,1:22.654,214.857
17,11,Olivier Panis,Toyota,59,1:22.861,214.320
12,12,Felipe Massa,Sauber Petronas,36,1:22.895,214.232
14,13,Mark Webber,Jaguar Cosworth,55,1:22.931,214.139
5,14,David Coulthard,McLaren Mercedes,42,1:22.951,214.087
16,15,Cristiano da Matta,Toyota,25,1:23.108,213.683
18,16,Nick Heidfeld,Jordan Ford,44,1:23.381,212.983
15,17,Christian Klien,Jaguar Cosworth,27,1:23.647,212.306
19,18,Giorgio Pantano,Jordan Ford,6,1:25.457,207.809
21,19,Zsolt Baumgartner,Minardi Cosworth,58,1:26.075,206.317
20,20,Gianmaria Bruni,Minardi Cosworth,11,1:26.857,204.460
