,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Renault,1:15.486
1,2,Ayrton Senna,McLaren Honda,1:16.227
2,3,Gerhard Berger,McLaren Honda,1:16.672
6,4,Riccardo Patrese,Williams Renault,1:16.989
27,5,Jean Alesi,Ferrari,1:17.208
19,6,Michael Schumacher,Benetton Ford,1:17.635
16,7,Karl Wendlinger,March Ilmor,1:18.115
20,8,Martin Brundle,Benetton Ford,1:18.327
28,9,Ivan Capelli,Ferrari,1:18.387
4,10,Andrea de Cesaris,Tyrrell Ilmor,1:18.544
12,11,Johnny Herbert,Lotus Ford,1:18.626
3,12,Olivier Grouillard,Tyrrell Ilmor,1:18.749
26,13,Erik Comas,Ligier Renault,1:19.200
25,14,Thierry Boutsen,Ligier Renault,1:19.296
15,15,Gabriele Tarquini,Fondmetal Ford,1:19.305
10,16,Aguri Suzuki,Footwork Mugen Honda,1:19.532
9,17,Michele Alboreto,Footwork Mugen Honda,1:19.571
30,18,Ukyo Katayama,Venturi Lamborghini,1:19.621
24,19,Gianni Morbidelli,Minardi Lamborghini,1:19.636
23,20,Christian Fittipaldi,Minardi Lamborghini,1:19.641
11,21,Mika Hakkinen,Lotus Ford,1:19.672
29,22,Bertrand Gachot,Venturi Lamborghini,1:20.039
33,23,Mauricio Gugelmin,Jordan Yamaha,1:20.120
21,24,Jyrki Jarvilehto,Dallara Ferrari,1:20.126
22,25,Pierluigi Martini,Dallara Ferrari,1:20.203
7,26,Eric van de Poele,Brabham Judd,1:20.488
