,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:15.804
1,2,Ayrton Senna,McLaren Honda,+1.407s
6,3,Riccardo Patrese,Williams Renault,+1.533s
2,4,Gerhard Berger,McLaren Honda,+1.945s
27,5,Jean Alesi,Ferrari,+2.283s
19,6,Michael Schumacher,Benetton Ford,+2.359s
28,7,Ivan Capelli,Ferrari,+2.921s
4,8,Andrea de Cesaris,Tyrrell Ilmor,+3.006s
20,9,Martin Brundle,Benetton Ford,+3.129s
16,10,Karl Wendlinger,March Ilmor,+3.272s
25,11,Thierry Boutsen,Ligier Renault,+3.534s
9,12,Michele Alboreto,Footwork Mugen Honda,+3.790s
3,13,Olivier Grouillard,Tyrrell Ilmor,+3.820s
12,14,Johnny Herbert,Lotus Ford,+3.925s
15,15,Gabriele Tarquini,Fondmetal Ford,+3.994s
23,16,Christian Fittipaldi,Minardi Lamborghini,+4.060s
33,17,Mauricio Gugelmin,Jordan Yamaha,+4.180s
26,18,Erik Comas,Ligier Renault,+4.231s
30,19,Ukyo Katayama,Venturi Lamborghini,+4.838s
22,20,Pierluigi Martini,Dallara Ferrari,+4.877s
21,21,Jyrki Jarvilehto,Dallara Ferrari,+5.256s
14,22,Andrea Chiesa,Fondmetal Ford,+5.406s
32,23,Stefano Modena,Jordan Yamaha,+5.429s
17,24,Paul Belmondo,March Ilmor,+5.587s
11,25,Mika Hakkinen,Lotus Ford,+5.725s
24,26,Gianni Morbidelli,Minardi Lamborghini,+5.763s
7,27,Eric van de Poele,Brabham Judd,+5.860s
8,28,Giovanna Amati,Brabham Judd,+7.541s
10,29,Aguri Suzuki,Footwork Mugen Honda,+8.507s
29,30,Bertrand Gachot,Venturi Lamborghini,+11.029s
