,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,70,1:17.578
1,2,Ayrton Senna,McLaren Honda,68,1:18.140
6,3,Riccardo Patrese,Williams Renault,67,1:18.571
2,4,Gerhard Berger,McLaren Honda,66,1:19.085
19,5,Michael Schumacher,Benetton Ford,66,1:19.224
12,6,Johnny Herbert,Lotus Ford,66,1:20.188
27,7,Jean Alesi,Ferrari,35,1:20.332
26,8,Erik Comas,Ligier Renault,41,1:20.347
3,9,Olivier Grouillard,Tyrrell Ilmor,43,1:20.476
25,10,Thierry Boutsen,Ligier Renault,36,1:20.524
4,11,Andrea de Cesaris,Tyrrell Ilmor,33,1:20.679
30,12,Ukyo Katayama,Venturi Lamborghini,66,1:20.714
9,13,Michele Alboreto,Footwork Mugen Honda,66,1:20.821
33,14,Mauricio Gugelmin,Jordan Yamaha,56,1:20.832
24,15,Gianni Morbidelli,Minardi Lamborghini,55,1:20.852
21,16,Jyrki Jarvilehto,Dallara Ferrari,43,1:20.922
11,17,Mika Hakkinen,Lotus Ford,65,1:20.956
10,18,Aguri Suzuki,Footwork Mugen Honda,40,1:21.146
28,19,Ivan Capelli,Ferrari,28,1:21.376
15,20,Gabriele Tarquini,Fondmetal Ford,22,1:22.031
23,21,Christian Fittipaldi,Minardi Lamborghini,39,1:22.072
16,22,Karl Wendlinger,March Ilmor,13,1:22.736
7,23,Eric van de Poele,Brabham Judd,59,1:23.165
22,24,Pierluigi Martini,Dallara Ferrari,48,1:23.612
29,25,Bertrand Gachot,Venturi Lamborghini,8,1:23.974
20,26,Martin Brundle,Benetton Ford,1,1:51.189
