,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:16.523
6,2,Riccardo Patrese,Williams Renault,+0.235s
2,3,Gerhard Berger,McLaren Honda,+0.640s
1,4,Ayrton Senna,McLaren Honda,+0.821s
27,5,Jean Alesi,Ferrari,+1.661s
19,6,Michael Schumacher,Benetton Ford,+2.136s
28,7,Ivan Capelli,Ferrari,+2.381s
4,8,Andrea de Cesaris,Tyrrell Ilmor,+2.511s
16,9,Karl Wendlinger,March Ilmor,+2.632s
20,10,Martin Brundle,Benetton Ford,+2.731s
12,11,Johnny Herbert,Lotus Ford,+3.009s
32,12,Stefano Modena,Jordan Yamaha,+3.305s
9,13,Michele Alboreto,Footwork Mugen Honda,+3.434s
23,14,Christian Fittipaldi,Minardi Lamborghini,+3.743s
3,15,Olivier Grouillard,Tyrrell Ilmor,+3.794s
33,16,Mauricio Gugelmin,Jordan Yamaha,+4.003s
26,17,Erik Comas,Ligier Renault,+4.104s
11,18,Mika Hakkinen,Lotus Ford,+4.106s
10,19,Aguri Suzuki,Footwork Mugen Honda,+4.159s
24,20,Gianni Morbidelli,Minardi Lamborghini,+4.173s
15,21,Gabriele Tarquini,Fondmetal Ford,+4.221s
25,22,Thierry Boutsen,Ligier Renault,+4.224s
21,23,Jyrki Jarvilehto,Dallara Ferrari,+4.918s
22,24,Pierluigi Martini,Dallara Ferrari,+5.226s
14,25,Andrea Chiesa,Fondmetal Ford,+5.304s
7,26,Eric van de Poele,Brabham Judd,+5.438s
30,27,Ukyo Katayama,Venturi Lamborghini,+5.517s
17,28,Paul Belmondo,March Ilmor,+5.681s
29,29,Bertrand Gachot,Venturi Lamborghini,+5.703s
8,30,Giovanna Amati,Brabham Judd,+8.653s
