,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Rubens Barrichello,Ferrari,15,1:23.657,249.289
1,2,Michael Schumacher,Ferrari,25,1:24.242,247.558
3,3,David Coulthard,McLaren Mercedes,52,1:24.962,245.460
6,4,Juan Pablo Montoya,Williams BMW,25,1:25.094,245.079
9,5,Giancarlo Fisichella,Jordan Honda,53,1:25.215,244.731
4,6,Kimi Räikkönen,McLaren Mercedes,29,1:25.219,244.720
12,7,Olivier Panis,BAR Honda,15,1:25.335,244.387
14,8,Jarno Trulli,Renault,48,1:25.368,244.292
10,9,Takuma Sato,Jordan Honda,52,1:25.392,244.224
16,10,Eddie Irvine,Jaguar Cosworth,48,1:25.579,243.690
5,11,Ralf Schumacher,Williams BMW,3,1:25.717,243.298
15,12,Jenson Button,Renault,49,1:25.849,242.924
7,13,Nick Heidfeld,Sauber Petronas,44,1:25.867,242.873
11,14,Jacques Villeneuve,BAR Honda,46,1:25.883,242.828
24,15,Mika Salo,Toyota,45,1:25.971,242.579
23,16,Mark Webber,Minardi Asiatech,19,1:27.104,239.424
25,17,Allan McNish,Toyota,6,1:27.230,239.078
22,18,Alex Yoong,Minardi Asiatech,42,1:27.401,238.610
17,19,Pedro de la Rosa,Jaguar Cosworth,15,1:27.600,238.068
8,20,Felipe Massa,Sauber Petronas,12,1:27.770,237.607
