,Position,Driver,Car,Q1,Q2,Q3,Laps
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:12.013,1:11.278,1:10.810,17
5,2,Sebastian Vettel,Ferrari,1:12.415,1:11.518,1:11.039,21
44,3,Lewis Hamilton,Mercedes,1:12.460,1:11.584,1:11.232,22
7,4,Kimi Räikkönen,Ferrari,1:12.639,1:11.391,1:11.266,22
77,5,Valtteri Bottas,Mercedes,1:12.434,1:12.002,1:11.441,25
31,6,Esteban Ocon,Force India Mercedes,1:13.028,1:12.188,1:12.061,27
14,7,Fernando Alonso,McLaren Renault,1:12.657,1:12.269,1:12.110,26
55,8,Carlos Sainz,Renault,1:12.950,1:12.286,1:12.130,28
11,9,Sergio Perez,Force India Mercedes,1:12.848,1:12.194,1:12.154,23
10,10,Pierre Gasly,Scuderia Toro Rosso Honda,1:12.941,1:12.313,1:12.221,29
27,11,Nico Hulkenberg,Renault,1:13.065,1:12.411,,22
2,12,Stoffel Vandoorne,McLaren Renault,1:12.463,1:12.440,,19
35,13,Sergey Sirotkin,Williams Mercedes,1:12.706,1:12.521,,19
16,14,Charles Leclerc,Sauber Ferrari,1:12.829,1:12.714,,20
8,15,Romain Grosjean,Haas Ferrari,1:12.930,1:12.728,,21
28,16,Brendon Hartley,Scuderia Toro Rosso Honda,1:13.179,,,12
9,17,Marcus Ericsson,Sauber Ferrari,1:13.265,,,11
18,18,Lance Stroll,Williams Mercedes,1:13.323,,,10
20,19,Kevin Magnussen,Haas Ferrari,1:13.393,,,12
