,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
33,1,Max Verstappen,Red Bull Racing TAG Heuer,60,1:14.260,161.772,16:32:17
8,2,Romain Grosjean,Haas Ferrari,74,1:14.822,160.557,16:52:13
18,3,Lance Stroll,Williams Mercedes,61,1:14.944,160.295,16:36:16
35,4,Sergey Sirotkin,Williams Mercedes,75,1:15.325,159.484,16:54:02
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,13,1:15.562,158.984,15:29:35
27,6,Nico Hulkenberg,Renault,57,1:16.061,157.941,16:28:20
5,7,Sebastian Vettel,Ferrari,14,1:16.065,157.933,15:30:53
44,8,Lewis Hamilton,Mercedes,15,1:16.270,157.508,15:32:34
77,9,Valtteri Bottas,Mercedes,21,1:16.312,157.422,15:40:34
7,10,Kimi Räikkönen,Ferrari,13,1:16.392,157.257,15:29:43
2,11,Stoffel Vandoorne,McLaren Renault,76,1:16.864,156.291,16:54:24
9,12,Marcus Ericsson,Sauber Ferrari,19,1:16.936,156.145,15:38:36
14,13,Fernando Alonso,McLaren Renault,23,1:17.018,155.979,15:43:34
31,14,Esteban Ocon,Force India Mercedes,63,1:17.027,155.960,16:35:57
10,15,Pierre Gasly,Scuderia Toro Rosso Honda,68,1:17.099,155.815,16:42:27
28,16,Brendon Hartley,Scuderia Toro Rosso Honda,15,1:17.172,155.667,15:33:15
20,17,Kevin Magnussen,Haas Ferrari,20,1:17.476,155.057,15:39:56
55,18,Carlos Sainz,Renault,19,1:17.491,155.027,15:38:24
11,19,Sergio Perez,Force India Mercedes,24,1:17.546,154.917,15:45:06
16,20,Charles Leclerc,Sauber Ferrari,17,1:17.710,154.590,15:35:52
