,Position,Driver,Car,Time
9,1,Chris Amon,Ferrari,1:23.540
6,2,Jochen Rindt,Brabham Climax,1:23.700
3,3,Graham Hill,Lotus Ford,1:23.840
5,4,Jack Brabham,Brabham Climax,1:23.900
8,5,Jackie Stewart,Matra Ford,1:24.410
10,6,Jacky Ickx,Ferrari,1:24.420
1,7,Denny Hulme,McLaren Ford,1:24.450
2,8,Bruce McLaren,McLaren Ford,1:24.580
7,9,John Surtees,Honda,1:25.220
4,10,Jackie Oliver,Lotus Ford,1:25.480
15,11,Pedro Rodriguez,BRM,1:25.510
18,12,Dan Gurney,McLaren Ford,1:25.790
21,13,Jo Siffert,Cooper Maserati,1:25.860
20,14,Piers   Courage,BRM,1:26.070
16,15,Richard Attwood,BRM,1:26.720
17,16,Jean-Pierre Beltoise,Matra Ford,1:26.760
22,17,Silvio  Moser ,Brabham Repco,1:28.290
14,18,Lucien Bianchi,Cooper BRM,1:28.310
19,19,Jo Bonnier,Honda,1:28.430
