,Position,Driver,Car,Time,Laps
8,1,Mika Hakkinen,McLaren Mercedes,1:30.010,10
7,2,David Coulthard,McLaren Mercedes,1:30.053,10
3,3,Michael Schumacher,Ferrari,1:30.767,11
1,4,Jacques Villeneuve,Williams Mecachrome,1:30.919,12
15,5,Johnny Herbert,Sauber Petronas,1:31.384,12
2,6,Heinz-Harald Frentzen,Williams Mecachrome,1:31.397,12
5,7,Giancarlo Fisichella,Benetton Playlife,1:31.733,12
4,8,Eddie Irvine,Ferrari,1:31.767,11
10,9,Ralf Schumacher,Jordan Mugen Honda,1:32.392,11
9,10,Damon Hill,Jordan Mugen Honda,1:32.399,12
6,11,Alexander Wurz,Benetton Playlife,1:32.726,9
14,12,Jean Alesi,Sauber Petronas,1:33.240,11
21,13,Toranosuke Takagi,Tyrrell Ford,1:33.291,11
18,14,Rubens Barrichello,Stewart Ford,1:33.383,8
12,15,Jarno Trulli,Prost Peugeot,1:33.739,11
11,16,Olivier Panis,Prost Peugeot,1:33.851,12
17,17,Mika Salo,Arrows,1:33.927,8
23,18,Esteban Tuero,Minardi Ford,1:34.646,12
19,19,Jan Magnussen,Stewart Ford,1:34.906,9
20,20,Ricardo Rosset,Tyrrell Ford,1:35.119,11
16,21,Pedro Diniz,Arrows,1:35.140,7
22,22,Shinji Nakano,Minardi Ford,1:35.301,12
