,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Benetton Renault,1:16.057,21
5,2,Damon Hill,Williams Renault,+0.360s,23
6,3,David Coulthard,Williams Renault,+0.423s,22
28,4,Gerhard Berger,Ferrari,+1.069s,14
27,5,Jean Alesi,Ferrari,+1.246s,17
7,6,Mark Blundell,McLaren Mercedes,+1.938s,23
15,7,Eddie Irvine,Jordan Peugeot,+1.945s,22
30,8,Heinz-Harald Frentzen,Sauber Ford,+2.002s,20
29,9,Jean-Christophe Boullion,Sauber Ford,+2.235s,23
2,10,Johnny Herbert,Benetton Renault,+2.315s,22
14,11,Rubens Barrichello,Jordan Peugeot,+2.320s,18
26,12,Olivier Panis,Ligier Mugen Honda,+2.782s,23
23,13,Pedro Lamy,Minardi Ford,+3.068s,23
4,14,Mika Salo,Tyrrell Yamaha,+3.080s,20
8,15,Jan Magnussen,McLaren Mercedes,+3.337s,23
25,16,Aguri Suzuki,Ligier Mugen Honda,+3.590s,20
3,17,Ukyo Katayama,Tyrrell Yamaha,+3.847s,23
24,18,Luca Badoer,Minardi Ford,+4.209s,23
9,19,Gianni Morbidelli,Footwork Hart,+4.266s,21
17,20,Andrea Montermini,Pacific Ilmor,+4.869s,5
10,21,Taki Inoue,Footwork Hart,+5.235s,8
22,22,Roberto Moreno,Forti Ford,+5.906s,23
21,23,Pedro Diniz,Forti Ford,+5.935s,23
16,24,Bertrand Gachot,Pacific Ilmor,+26.713s,2
