,Position,Driver,Car,Time / Gap,Laps
6,1,David Coulthard,Williams Renault,1:15.730,22
5,2,Damon Hill,Williams Renault,+0.356s,23
27,3,Jean Alesi,Ferrari,+0.678s,22
15,4,Eddie Irvine,Jordan Peugeot,+0.738s,22
28,5,Gerhard Berger,Ferrari,+0.758s,19
1,6,Michael Schumacher,Benetton Renault,+0.951s,23
2,7,Johnny Herbert,Benetton Renault,+1.103s,23
30,8,Heinz-Harald Frentzen,Sauber Ford,+1.229s,23
14,9,Rubens Barrichello,Jordan Peugeot,+1.830s,20
29,10,Jean-Christophe Boullion,Sauber Ford,+2.005s,23
7,11,Mark Blundell,McLaren Mercedes,+2.014s,9
8,12,Jan Magnussen,McLaren Mercedes,+2.142s,23
26,13,Olivier Panis,Ligier Mugen Honda,+2.252s,15
3,14,Ukyo Katayama,Tyrrell Yamaha,+2.273s,22
25,15,Aguri Suzuki,Ligier Mugen Honda,+2.496s,23
23,16,Pedro Lamy,Minardi Ford,+2.826s,23
4,17,Mika Salo,Tyrrell Yamaha,+3.203s,21
9,18,Gianni Morbidelli,Footwork Hart,+3.295s,17
24,19,Luca Badoer,Minardi Ford,+3.622s,23
10,20,Taki Inoue,Footwork Hart,+4.488s,21
17,21,Andrea Montermini,Pacific Ilmor,+5.551s,4
21,22,Pedro Diniz,Forti Ford,+5.574s,23
22,23,Roberto Moreno,Forti Ford,+5.896s,22
16,24,Bertrand Gachot,Pacific Ilmor,+8.465s,3
