,Position,Driver,Car,Laps,Time,Points
10,1,Pierre Gasly,AlphaTauri Honda,53,1:47:06.056,25
55,2,Carlos Sainz,McLaren Renault,53,+0.415s,18
18,3,Lance Stroll,Racing Point BWT Mercedes,53,+3.358s,15
4,4,Lando Norris,McLaren Renault,53,+6.000s,12
77,5,Valtteri Bottas,Mercedes,53,+7.108s,10
3,6,Daniel Ricciardo,Renault,53,+8.391s,8
44,7,Lewis Hamilton,Mercedes,53,+17.245s,7
31,8,Esteban Ocon,Renault,53,+18.691s,4
26,9,Daniil Kvyat,AlphaTauri Honda,53,+22.208s,2
11,10,Sergio Perez,Racing Point BWT Mercedes,53,+23.224s,1
6,11,Nicholas Latifi,Williams Mercedes,53,+32.876s,0
8,12,Romain Grosjean,Haas Ferrari,53,+35.164s,0
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,53,+36.312s,0
63,14,George Russell,Williams Mercedes,53,+36.593s,0
23,15,Alexander Albon,Red Bull Racing Honda,53,+37.533s,0
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,53,+55.199s,0
33,NC,Max Verstappen,Red Bull Racing Honda,30,DNF,0
16,NC,Charles Leclerc,Ferrari,23,DNF,0
20,NC,Kevin Magnussen,Haas Ferrari,17,DNF,0
5,NC,Sebastian Vettel,Ferrari,6,DNF,0
