,Position,Driver,Car,Time / Gap
0,1,Damon Hill,Williams Renault,1:20.434
2,2,Alain Prost,Williams Renault,+0.002s
5,3,Michael Schumacher,Benetton Ford,+1.079s
6,4,Riccardo Patrese,Benetton Ford,+1.994s
12,5,Johnny Herbert,Lotus Ford,+2.300s
10,6,Aguri Suzuki,Footwork Mugen Honda,+2.938s
26,7,Mark Blundell,Ligier Renault,+2.979s
7,8,Michael Andretti,McLaren Ford,+2.992s
11,9,Alessandro Zanardi,Lotus Ford,+3.019s
8,10,Ayrton Senna,McLaren Ford,+3.139s
25,11,Martin Brundle,Ligier Renault,+3.154s
14,12,Rubens Barrichello,Jordan Hart,+3.183s
30,13,Jyrki Jarvilehto,Sauber,+3.376s
27,14,Jean Alesi,Ferrari,+3.411s
9,15,Derek Warwick,Footwork Mugen Honda,+3.507s
29,16,Karl Wendlinger,Sauber,+3.887s
28,17,Gerhard Berger,Ferrari,+3.902s
20,18,Erik Comas,Larrousse Lamborghini,+3.959s
4,19,Andrea de Cesaris,Tyrrell Yamaha,+4.687s
3,20,Ukyo Katayama,Tyrrell Yamaha,+4.945s
15,21,Thierry Boutsen,Jordan Hart,+5.057s
19,22,Philippe Alliot,Larrousse Lamborghini,+5.158s
24,23,Pierluigi Martini,Minardi Ford,+5.516s
23,24,Christian Fittipaldi,Minardi Ford,+5.717s
22,25,Luca Badoer,Lola Ferrari,+5.844s
21,26,Michele Alboreto,Lola Ferrari,+6.759s
