,Position,Driver,Car,Time / Gap
0,1,Damon Hill,Williams Renault,1:53.438
8,2,Ayrton Senna,McLaren Ford,+1.543s
27,3,Jean Alesi,Ferrari,+2.776s
22,4,Luca Badoer,Lola Ferrari,+5.099s
21,5,Michele Alboreto,Lola Ferrari,+8.209s
19,6,Philippe Alliot,Larrousse Lamborghini,+12.233s
3,7,Ukyo Katayama,Tyrrell Yamaha,+16.017s
25,8,Martin Brundle,Ligier Renault,+20.112s
4,9,Andrea de Cesaris,Tyrrell Yamaha,+21.270s
20,10,Erik Comas,Larrousse Lamborghini,+22.322s
24,11,Pierluigi Martini,Minardi Ford,+23.874s
26,12,Mark Blundell,Ligier Renault,+30.192s
12,13,Johnny Herbert,Lotus Ford,+53.567s
29,14,Karl Wendlinger,Sauber,+86.163s
30,15,Jyrki Jarvilehto,Sauber,+103.174s
11,16,Alessandro Zanardi,Lotus Ford,+118.653s
28,17,Gerhard Berger,Ferrari,+337.947s
10,18,Aguri Suzuki,Footwork Mugen Honda,+402.824s
23,19,Christian Fittipaldi,Minardi Ford,+545.246s
7,20,Michael Andretti,McLaren Ford,+566.417s
9,21,Derek Warwick,Footwork Mugen Honda,
2,22,Alain Prost,Williams Renault,
15,23,Thierry Boutsen,Jordan Hart,
14,24,Rubens Barrichello,Jordan Hart,
