,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:38.299
6,2,Riccardo Patrese,Williams Renault,+0.199s
1,3,Ayrton Senna,McLaren Honda,+0.948s
2,4,Gerhard Berger,McLaren Honda,+1.004s
28,5,Jean Alesi,Ferrari,+1.959s
33,6,Andrea de Cesaris,Jordan Ford,+2.421s
27,7,Alain Prost,Ferrari,+3.214s
19,8,Roberto Moreno,Benetton Ford,+3.318s
20,9,Nelson Piquet,Benetton Ford,+3.481s
32,10,Bertrand Gachot,Jordan Ford,+3.754s
22,11,Jyrki Jarvilehto,Dallara Judd,+3.769s
24,12,Gianni Morbidelli,Minardi Ferrari,+3.862s
25,13,Thierry Boutsen,Ligier Lamborghini,+3.870s
4,14,Stefano Modena,Tyrrell Honda,+3.948s
3,15,Satoru Nakajima,Tyrrell Honda,+4.085s
7,16,Martin Brundle,Brabham Yamaha,+4.440s
11,17,Mika Hakkinen,Lotus Judd,+4.444s
16,18,Ivan Capelli,Leyton House Ilmor,+4.492s
26,19,Erik Comas,Ligier Lamborghini,+4.661s
15,20,Mauricio Gugelmin,Leyton House Ilmor,+5.299s
21,21,Emanuele Pirro,Dallara Judd,+5.788s
23,22,Pierluigi Martini,Minardi Ferrari,+5.950s
29,23,Eric Bernard,Lola Ford,+5.970s
8,24,Mark Blundell,Brabham Yamaha,+6.352s
35,25,Eric van de Poele,Lambo Lamborghini,+6.651s
9,26,Michele Alboreto,Footwork Porsche,+6.756s
17,27,Gabriele Tarquini,AGS Ford,+6.785s
34,28,Nicola Larini,Lambo Lamborghini,+8.029s
12,29,Michael Bartels,Lotus Judd,+8.647s
30,30,Aguri Suzuki,Lola Ford,+9.750s
