,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:36.998
2,2,Gerhard Berger,McLaren Honda,+2.176s
1,3,Ayrton Senna,McLaren Honda,+2.597s
28,4,Jean Alesi,Ferrari,+3.139s
27,5,Alain Prost,Ferrari,+3.359s
6,6,Riccardo Patrese,Williams Renault,+3.470s
20,7,Nelson Piquet,Benetton Ford,+3.982s
33,8,Andrea de Cesaris,Jordan Ford,+4.299s
3,9,Satoru Nakajima,Tyrrell Honda,+4.856s
19,10,Roberto Moreno,Benetton Ford,+4.871s
22,11,Jyrki Jarvilehto,Dallara Judd,+5.037s
4,12,Stefano Modena,Tyrrell Honda,+5.447s
8,13,Mark Blundell,Brabham Yamaha,+5.525s
15,14,Mauricio Gugelmin,Leyton House Ilmor,+5.700s
30,15,Aguri Suzuki,Lola Ford,+5.720s
25,16,Thierry Boutsen,Ligier Lamborghini,+5.802s
16,17,Ivan Capelli,Leyton House Ilmor,+5.835s
7,18,Martin Brundle,Brabham Yamaha,+6.062s
23,19,Pierluigi Martini,Minardi Ferrari,+6.160s
34,20,Nicola Larini,Lambo Lamborghini,+6.273s
11,21,Mika Hakkinen,Lotus Judd,+6.453s
12,22,Michael Bartels,Lotus Judd,+7.364s
21,23,Emanuele Pirro,Dallara Judd,+8.563s
9,24,Michele Alboreto,Footwork Porsche,+8.813s
29,25,Eric Bernard,Lola Ford,+8.917s
17,26,Gabriele Tarquini,AGS Ford,+9.167s
24,27,Gianni Morbidelli,Minardi Ferrari,+9.228s
35,28,Eric van de Poele,Lambo Lamborghini,+10.040s
26,29,Erik Comas,Ligier Lamborghini,+10.617s
32,30,Bertrand Gachot,Jordan Ford,+11.026s
