,Position,Driver,Car,Time
7,1,Martin Brundle,Brabham Yamaha,1:42.810
5,1,Nigel Mansell,Williams Renault,1:37.087
1,2,Ayrton Senna,McLaren Honda,1:37.274
17,2,Gabriele Tarquini,AGS Ford,1:43.939
2,3,Gerhard Berger,McLaren Honda,1:37.393
9,3,Michele Alboreto,Footwork Porsche,1:44.034
6,4,Riccardo Patrese,Williams Renault,1:37.435
8,4,Mark Blundell,Brabham Yamaha,1:44.257
27,5,Alain Prost,Ferrari,1:39.034
14,5,Olivier Grouillard,Fondmetal Ford,1:44.645
28,6,Jean Alesi,Ferrari,1:39.042
10,6,Alex Caffi,Footwork Porsche,1:45.282
18,7,Fabrizio Barbazza,AGS Ford,1:46.604
33,7,Andrea de Cesaris,Jordan Ford,1:40.239
31,8,Pedro Chaves,Coloni Ford,1:47.546
20,8,Nelson Piquet,Benetton Ford,1:40.560
19,9,Roberto Moreno,Benetton Ford,1:40.957
23,10,Pierluigi Martini,Minardi Ferrari,1:40.998
32,11,Bertrand Gachot,Jordan Ford,1:41.308
16,12,Ivan Capelli,Leyton House Ilmor,1:41.330
3,13,Satoru Nakajima,Tyrrell Honda,1:41.390
4,14,Stefano Modena,Tyrrell Honda,1:41.566
15,16,Mauricio Gugelmin,Leyton House Ilmor,1:41.735
25,17,Thierry Boutsen,Ligier Lamborghini,1:41.823
21,18,Emanuele Pirro,Dallara Judd,1:42.021
24,19,Gianni Morbidelli,Minardi Ferrari,1:42.058
22,20,Jyrki Jarvilehto,Dallara Judd,1:42.171
30,22,Aguri Suzuki,Lola Ford,1:42.474
11,23,Mika Hakkinen,Lotus Judd,1:42.726
34,24,Nicola Larini,Lambo Lamborghini,1:43.035
29,25,Eric Bernard,Lola Ford,1:43.321
26,26,Erik Comas,Ligier Lamborghini,1:43.364
12,28,Michael Bartels,Lotus Judd,1:43.624
35,30,Eric van de Poele,Lambo Lamborghini,1:44.207
