,Position,Driver,Car,Time
16,1,Rene Arnoux,Renault,1:33.988
15,2,Jean-Pierre Jabouille,Renault,1:34.339
28,3,Carlos Reutemann,Williams Ford,1:34.686
23,4,Bruno Giacomelli,Alfa Romeo,1:34.912
5,5,Nelson Piquet,Brabham Ford,1:34.960
27,6,Alan  Jones,Williams Ford,1:35.109
29,7,Riccardo Patrese,Arrows Ford,1:35.618
2,8,Gilles Villeneuve,Ferrari,1:35.751
6,9,Hector Rebaque,Brabham Ford,1:35.872
11,10,Mario Andretti,Lotus Ford,1:36.084
21,11,Keke Rosberg,Fittipaldi Ford,1:36.091
3,12,Jean-Pierre Jarier,Tyrrell Ford,1:36.181
25,13,Didier Pironi,Ligier Ford,1:36.422
7,14,John Watson,McLaren Ford,1:36.450
20,15,Emerson Fittipaldi,Fittipaldi Ford,1:36.758
1,16,Jody Scheckter,Ferrari,1:36.827
31,17,Eddie  Cheever,Osella Ford,1:36.884
12,18,Elio de Angelis,Lotus Ford,1:36.919
22,19,Vittorio Brambilla,Alfa Romeo,1:36.929
26,20,Jacques Laffite,Ligier Ford,1:36.972
50,21,Rupert Keegan,Williams Ford,1:37.169
4,22,Derek Daly,Tyrrell Ford,1:37.215
9,23,Marc Surer,ATS Ford,1:37.270
8,24,Alain Prost,McLaren Ford,1:37.284
