,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,49,1:20.355,211.909
6,2,Juan Pablo Montoya,Williams BMW,47,1:21.740,208.319
3,3,David Coulthard,McLaren Mercedes,45,1:21.931,207.833
14,4,Jarno Trulli,Renault,25,1:22.155,207.266
8,5,Felipe Massa,Sauber Petronas,28,1:22.186,207.188
20,6,Heinz-Harald Frentzen,Arrows Cosworth,43,1:22.320,206.851
24,7,Mika Salo,Toyota,47,1:22.524,206.339
15,8,Jenson Button,Renault,26,1:22.607,206.132
5,9,Ralf Schumacher,Williams BMW,27,1:22.697,205.908
11,10,Jacques Villeneuve,BAR Honda,47,1:22.827,205.585
7,11,Nick Heidfeld,Sauber Petronas,29,1:22.860,205.503
12,12,Olivier Panis,BAR Honda,26,1:22.872,205.473
25,13,Allan McNish,Toyota,46,1:23.160,204.761
21,14,Enrique Bernoldi,Arrows Cosworth,26,1:23.507,203.911
4,15,Kimi Räikkönen,McLaren Mercedes,3,1:23.524,203.869
16,16,Eddie Irvine,Jaguar Cosworth,28,1:24.187,202.264
10,17,Takuma Sato,Jordan Honda,10,1:24.198,202.237
9,18,Giancarlo Fisichella,Jordan Honda,3,1:24.493,201.531
17,19,Pedro de la Rosa,Jaguar Cosworth,2,1:25.944,198.129
