,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,70,1:31:53.145,25
6,2,Nico Rosberg,Mercedes,70,+2.285s,18
77,3,Valtteri Bottas,Williams Mercedes,70,+40.666s,15
7,4,Kimi Räikkönen,Ferrari,70,+45.625s,12
5,5,Sebastian Vettel,Ferrari,70,+49.903s,10
19,6,Felipe Massa,Williams Mercedes,70,+56.381s,8
13,7,Pastor Maldonado,Lotus Mercedes,70,+66.664s,6
27,8,Nico Hulkenberg,Force India Mercedes,69,+1 lap,4
26,9,Daniil Kvyat,Red Bull Racing Renault,69,+1 lap,2
8,10,Romain Grosjean,Lotus Mercedes,69,+1 lap,1
11,11,Sergio Perez,Force India Mercedes,69,+1 lap,0
55,12,Carlos Sainz,STR Renault,69,+1 lap,0
3,13,Daniel Ricciardo,Red Bull Racing Renault,69,+1 lap,0
9,14,Marcus Ericsson,Sauber Ferrari,69,+1 lap,0
33,15,Max Verstappen,STR Renault,69,+1 lap,0
12,16,Felipe Nasr,Sauber Ferrari,68,+2 laps,0
28,17,Will Stevens,Marussia Ferrari,66,+4 laps,0
98,NC,Roberto Merhi,Marussia Ferrari,57,DNF,0
22,NC,Jenson Button,McLaren Honda,54,DNF,0
14,NC,Fernando Alonso,McLaren Honda,44,DNF,0
