,Position,Driver,Car,Lap,Time
1,1,Ayrton Senna,McLaren Honda,66,1:16.272
5,2,Nigel Mansell,Williams Renault,57,1:17.137
2,3,Gerhard Berger,McLaren Honda,60,1:17.399
19,4,Michael Schumacher,Benetton Ford,62,1:17.772
6,5,Riccardo Patrese,Williams Renault,33,1:18.349
20,6,Martin Brundle,Benetton Ford,54,1:19.371
23,7,Christian Fittipaldi,Minardi Lamborghini,57,1:19.605
9,8,Michele Alboreto,Footwork Mugen Honda,63,1:19.966
10,9,Aguri Suzuki,Footwork Mugen Honda,46,1:20.080
26,10,Erik Comas,Ligier Renault,27,1:20.145
11,11,Mika Hakkinen,Lotus Ford,30,1:20.187
25,12,Thierry Boutsen,Ligier Renault,46,1:20.275
4,13,Andrea de Cesaris,Tyrrell Ilmor,52,1:20.515
16,14,Karl Wendlinger,March Ilmor,28,1:20.716
24,15,Gianni Morbidelli,Minardi Lamborghini,58,1:20.807
32,16,Stefano Modena,Jordan Yamaha,37,1:20.889
30,17,Ukyo Katayama,Venturi Lamborghini,45,1:21.216
17,18,Emanuele Naspetti,March Ilmor,32,1:21.314
27,19,Jean Alesi,Ferrari,9,1:21.638
28,20,Ivan Capelli,Ferrari,28,1:21.799
21,21,Jyrki Jarvilehto,Dallara Ferrari,26,1:21.874
3,22,Olivier Grouillard,Tyrrell Ilmor,24,1:21.906
22,23,Pierluigi Martini,Dallara Ferrari,26,1:22.156
29,24,Bertrand Gachot,Venturi Lamborghini,11,1:22.394
33,25,Mauricio Gugelmin,Jordan Yamaha,9,1:23.606
12,26,Johnny Herbert,Lotus Ford,1,1:58.788
