,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:13.761
6,2,Riccardo Patrese,Williams Renault,+0.314s
2,3,Gerhard Berger,McLaren Honda,+1.610s
1,4,Ayrton Senna,McLaren Honda,+1.768s
19,5,Michael Schumacher,Benetton Ford,+2.387s
12,6,Johnny Herbert,Lotus Ford,+2.687s
20,7,Martin Brundle,Benetton Ford,+2.791s
11,8,Mika Hakkinen,Lotus Ford,+3.220s
27,9,Jean Alesi,Ferrari,+3.300s
9,10,Michele Alboreto,Footwork Mugen Honda,+3.302s
29,11,Bertrand Gachot,Venturi Lamborghini,+3.305s
4,12,Andrea de Cesaris,Tyrrell Ilmor,+3.332s
26,13,Erik Comas,Ligier Renault,+3.425s
3,14,Olivier Grouillard,Tyrrell Ilmor,+3.549s
10,15,Aguri Suzuki,Footwork Mugen Honda,+3.784s
24,16,Gianni Morbidelli,Minardi Lamborghini,+3.839s
21,17,Jyrki Jarvilehto,Dallara Ferrari,+4.278s
16,18,Karl Wendlinger,March Ilmor,+4.368s
17,19,Emanuele Naspetti,March Ilmor,+4.565s
33,20,Mauricio Gugelmin,Jordan Yamaha,+4.588s
22,21,Pierluigi Martini,Dallara Ferrari,+4.784s
25,22,Thierry Boutsen,Ligier Renault,+4.940s
28,23,Ivan Capelli,Ferrari,+4.953s
32,24,Stefano Modena,Jordan Yamaha,+5.054s
23,25,Christian Fittipaldi,Minardi Lamborghini,+5.155s
30,26,Ukyo Katayama,Venturi Lamborghini,+5.184s
