,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:13.635
6,2,Riccardo Patrese,Williams Renault,+0.120s
2,3,Gerhard Berger,McLaren Honda,+1.055s
1,4,Ayrton Senna,McLaren Honda,+1.641s
19,5,Michael Schumacher,Benetton Ford,+1.959s
20,6,Martin Brundle,Benetton Ford,+2.706s
11,7,Mika Hakkinen,Lotus Ford,+2.834s
12,8,Johnny Herbert,Lotus Ford,+3.237s
24,9,Gianni Morbidelli,Minardi Lamborghini,+3.479s
27,10,Jean Alesi,Ferrari,+3.480s
25,11,Thierry Boutsen,Ligier Renault,+3.513s
30,12,Ukyo Katayama,Venturi Lamborghini,+3.781s
9,13,Michele Alboreto,Footwork Mugen Honda,+3.781s
16,14,Karl Wendlinger,March Ilmor,+3.899s
4,15,Andrea de Cesaris,Tyrrell Ilmor,+3.957s
28,16,Ivan Capelli,Ferrari,+4.070s
10,17,Aguri Suzuki,Footwork Mugen Honda,+4.084s
26,18,Erik Comas,Ligier Renault,+4.098s
17,19,Emanuele Naspetti,March Ilmor,+4.511s
29,20,Bertrand Gachot,Venturi Lamborghini,+4.755s
32,21,Stefano Modena,Jordan Yamaha,+4.845s
33,22,Mauricio Gugelmin,Jordan Yamaha,+4.868s
21,23,Jyrki Jarvilehto,Dallara Ferrari,+4.903s
3,24,Olivier Grouillard,Tyrrell Ilmor,+5.125s
22,25,Pierluigi Martini,Dallara Ferrari,+5.538s
23,26,Christian Fittipaldi,Minardi Lamborghini,+5.898s
