,Position,Driver,Car,Lap,Time
3,1,Jacques Villeneuve,Williams Renault,36,1:11.814
5,2,Michael Schumacher,Ferrari,71,1:12.169
10,3,David Coulthard,McLaren Mercedes,65,1:12.207
4,4,Heinz-Harald Frentzen,Williams Renault,55,1:12.223
12,5,Giancarlo Fisichella,Jordan Peugeot,64,1:12.375
22,6,Rubens Barrichello,Stewart Ford,55,1:12.535
16,7,Johnny Herbert,Sauber Petronas,34,1:12.574
14,8,Jarno Trulli,Prost Mugen Honda,30,1:12.598
23,9,Jan Magnussen,Stewart Ford,38,1:12.605
8,10,Gerhard Berger,Benetton Renault,66,1:12.624
6,11,Eddie Irvine,Ferrari,35,1:12.704
17,12,Gianni Morbidelli,Sauber Petronas,71,1:12.826
11,13,Ralf Schumacher,Jordan Peugeot,65,1:12.862
1,14,Damon Hill,Arrows Yamaha,53,1:12.903
7,15,Jean Alesi,Benetton Renault,29,1:12.953
15,16,Shinji Nakano,Prost Mugen Honda,57,1:13.010
2,17,Pedro Diniz,Arrows Yamaha,63,1:13.074
18,18,Jos Verstappen,Tyrrell Ford,69,1:13.708
19,19,Mika Salo,Tyrrell Ford,34,1:13.862
20,20,Ukyo Katayama,Minardi Hart,63,1:14.394
9,21,Mika Hakkinen,McLaren Mercedes,1,1:31.574
