,Position,Driver,Car,Time,Laps
3,1,Jacques Villeneuve,Williams Renault,1:10.304,12
9,2,Mika Hakkinen,McLaren Mercedes,1:10.398,12
14,3,Jarno Trulli,Prost Mugen Honda,1:10.511,12
4,4,Heinz-Harald Frentzen,Williams Renault,1:10.670,11
22,5,Rubens Barrichello,Stewart Ford,1:10.700,12
23,6,Jan Magnussen,Stewart Ford,1:10.893,12
1,7,Damon Hill,Arrows Yamaha,1:11.025,10
6,8,Eddie Irvine,Ferrari,1:11.051,11
5,9,Michael Schumacher,Ferrari,1:11.056,11
10,10,David Coulthard,McLaren Mercedes,1:11.076,12
11,11,Ralf Schumacher,Jordan Peugeot,1:11.186,12
16,12,Johnny Herbert,Sauber Petronas,1:11.210,10
17,13,Gianni Morbidelli,Sauber Petronas,1:11.261,12
12,14,Giancarlo Fisichella,Jordan Peugeot,1:11.299,12
7,15,Jean Alesi,Benetton Renault,1:11.382,11
15,16,Shinji Nakano,Prost Mugen Honda,1:11.596,11
2,17,Pedro Diniz,Arrows Yamaha,1:11.615,7
8,18,Gerhard Berger,Benetton Renault,1:11.620,11
20,19,Ukyo Katayama,Minardi Hart,1:12.036,12
18,20,Jos Verstappen,Tyrrell Ford,1:12.230,12
21,21,Tarso Marques,Minardi Hart,1:12.304,12
19,22,Mika Salo,Tyrrell Ford,1:14.246,6
