,Position,Driver,Car,Time / Gap,Laps
8,1,Fernando Alonso,Ferrari,1:54.099,14
4,2,Nico Rosberg,Mercedes,+0.269s,13
6,3,Mark Webber,RBR Renault,+0.401s,15
3,4,Michael Schumacher,Mercedes,+0.434s,13
5,5,Sebastian Vettel,RBR Renault,+0.547s,16
7,6,Felipe Massa,Ferrari,+0.640s,14
1,7,Jenson Button,McLaren Mercedes,+0.901s,14
11,8,Robert Kubica,Renault,+1.232s,15
15,9,Vitantonio Liuzzi,Force India Mercedes,+1.333s,11
10,10,Nico Hulkenberg,Williams Cosworth,+1.362s,13
14,11,Adrian Sutil,Force India Mercedes,+1.422s,13
2,12,Lewis Hamilton,McLaren Mercedes,+1.761s,8
22,13,Pedro de la Rosa,Sauber Ferrari,+1.964s,14
9,14,Rubens Barrichello,Williams Cosworth,+2.160s,15
16,15,Sebastien Buemi,STR Ferrari,+2.196s,17
17,16,Jaime Alguersuari,STR Ferrari,+2.405s,16
23,17,Kamui Kobayashi,Sauber Ferrari,+2.431s,14
12,18,Vitaly Petrov,Renault,+2.712s,16
24,19,Timo Glock,Virgin Cosworth,+5.074s,10
19,20,Heikki Kovalainen,Lotus Cosworth,+5.690s,15
18,21,Jarno Trulli,Lotus Cosworth,+7.160s,5
21,22,Bruno Senna,HRT Cosworth,+9.902s,11
25,23,Lucas di Grassi,Virgin Cosworth,,2
