,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:22.890,1:22.285,1:22.020,20
6,2,Nico Rosberg,Mercedes,1:22.979,1:22.775,1:22.595,21
5,3,Sebastian Vettel,Ferrari,1:23.312,1:23.168,1:22.739,17
3,4,Daniel Ricciardo,Red Bull Racing Renault,1:24.408,1:23.230,1:22.774,20
7,5,Kimi Räikkönen,Ferrari,1:23.596,1:23.460,1:23.020,16
77,6,Valtteri Bottas,Williams Mercedes,1:23.649,1:23.555,1:23.222,19
26,7,Daniil Kvyat,Red Bull Racing Renault,1:23.587,1:23.597,1:23.332,17
19,8,Felipe Massa,Williams Mercedes,1:23.895,1:23.598,1:23.537,20
33,9,Max Verstappen,STR Renault,1:24.032,1:23.781,1:23.679,18
8,10,Romain Grosjean,Lotus Mercedes,1:24.242,1:23.805,1:24.181,18
27,11,Nico Hulkenberg,Force India Mercedes,1:24.115,1:23.826,,13
55,12,Carlos Sainz,STR Renault,1:24.623,1:23.869,,16
11,13,Sergio Perez,Force India Mercedes,1:24.444,1:24.461,,14
13,14,Pastor Maldonado,Lotus Mercedes,1:23.895,1:24.609,,12
14,15,Fernando Alonso,McLaren Honda,1:24.563,DNS,,7
22,16,Jenson Button,McLaren Honda,1:24.739,,,8
9,17,Marcus Ericsson,Sauber Ferrari,1:24.843,,,8
12,18,Felipe Nasr,Sauber Ferrari,1:24.997,,,8
98,19,Roberto Merhi,Marussia Ferrari,1:27.416,,,8
28,20,Will Stevens,Marussia Ferrari,1:27.949,,,6
