,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
3,1,Daniel Ricciardo,Red Bull Racing Renault,68,1:24.821,185.939,15:51:18
6,2,Nico Rosberg,Mercedes,68,1:25.149,185.223,15:51:51
44,3,Lewis Hamilton,Mercedes,68,1:25.727,183.974,15:51:45
26,4,Daniil Kvyat,Red Bull Racing Renault,57,1:26.519,182.290,15:34:57
5,5,Sebastian Vettel,Ferrari,63,1:26.772,181.759,15:43:35
19,6,Felipe Massa,Williams Mercedes,59,1:26.864,181.566,15:38:51
7,7,Kimi Räikkönen,Ferrari,24,1:26.954,181.378,14:41:57
77,8,Valtteri Bottas,Williams Mercedes,51,1:27.058,181.161,15:27:12
13,9,Pastor Maldonado,Lotus Mercedes,62,1:27.130,181.012,15:43:17
14,10,Fernando Alonso,McLaren Honda,67,1:27.311,180.637,15:50:13
33,11,Max Verstappen,STR Renault,62,1:27.650,179.938,15:42:47
9,12,Marcus Ericsson,Sauber Ferrari,60,1:28.004,179.214,15:40:09
27,13,Nico Hulkenberg,Force India Mercedes,38,1:28.074,179.072,15:03:42
8,14,Romain Grosjean,Lotus Mercedes,60,1:28.080,179.059,15:40:03
12,15,Felipe Nasr,Sauber Ferrari,51,1:28.268,178.678,15:26:54
11,16,Sergio Perez,Force India Mercedes,51,1:28.499,178.212,15:26:55
22,17,Jenson Button,McLaren Honda,65,1:28.535,178.139,15:47:31
55,18,Carlos Sainz,STR Renault,38,1:28.611,177.986,15:04:03
28,19,Will Stevens,Marussia Ferrari,56,1:29.543,176.134,15:36:42
98,20,Roberto Merhi,Marussia Ferrari,59,1:29.868,175.497,15:40:38
