,Position,Driver,Car,Time,Laps
3,1,Jacques Villeneuve,Williams Renault,1:24.473,12
4,2,Heinz-Harald Frentzen,Williams Renault,1:25.271,12
14,3,Olivier Panis,Prost Mugen Honda,1:25.491,11
5,4,Michael Schumacher,Ferrari,1:25.773,10
22,5,Rubens Barrichello,Stewart Ford,1:25.942,12
11,6,Ralf Schumacher,Jordan Peugeot,1:26.218,11
6,7,Eddie Irvine,Ferrari,1:26.327,11
16,8,Johnny Herbert,Sauber Petronas,1:26.564,12
12,9,Giancarlo Fisichella,Jordan Peugeot,1:26.619,11
10,10,David Coulthard,McLaren Mercedes,1:26.799,11
7,11,Jean Alesi,Benetton Renault,1:27.076,12
8,12,Gerhard Berger,Benetton Renault,1:27.259,10
1,13,Damon Hill,Arrows Yamaha,1:27.281,12
17,14,Nicola Larini,Sauber Petronas,1:27.690,11
23,15,Jan Magnussen,Stewart Ford,1:28.035,12
18,16,Jos Verstappen,Tyrrell Ford,1:28.094,11
9,17,Mika Hakkinen,McLaren Mercedes,1:28.135,9
21,18,Jarno Trulli,Minardi Hart,1:28.160,12
19,19,Mika Salo,Tyrrell Ford,1:28.224,11
15,20,Shinji Nakano,Prost Mugen Honda,1:28.366,12
20,21,Ukyo Katayama,Minardi Hart,1:28.413,12
2,22,Pedro Diniz,Arrows Yamaha,1:28.969,12
