,Position,Driver,Car,Lap,Time
8,1,Gerhard Berger,Benetton Renault,63,1:27.981
3,2,Jacques Villeneuve,Williams Renault,54,1:28.028
11,3,Ralf Schumacher,Jordan Peugeot,56,1:28.382
17,4,Nicola Larini,Sauber Petronas,46,1:28.410
6,5,Eddie Irvine,Ferrari,63,1:28.473
7,6,Jean Alesi,Benetton Renault,33,1:28.827
9,7,Mika Hakkinen,McLaren Mercedes,58,1:29.076
14,8,Olivier Panis,Prost Mugen Honda,8,1:29.090
16,9,Johnny Herbert,Sauber Petronas,62,1:29.296
18,10,Jos Verstappen,Tyrrell Ford,43,1:29.541
23,11,Jan Magnussen,Stewart Ford,48,1:29.834
15,12,Shinji Nakano,Prost Mugen Honda,40,1:29.865
22,13,Rubens Barrichello,Stewart Ford,23,1:29.913
19,14,Mika Salo,Tyrrell Ford,62,1:29.931
12,15,Giancarlo Fisichella,Jordan Peugeot,19,1:30.278
21,16,Jarno Trulli,Minardi Hart,53,1:30.593
1,17,Damon Hill,Arrows Yamaha,23,1:30.649
2,18,Pedro Diniz,Arrows Yamaha,42,1:31.111
4,19,Heinz-Harald Frentzen,Williams Renault,5,1:31.832
20,20,Ukyo Katayama,Minardi Hart,29,1:31.869
