,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:33.074,6
14,2,Mark Webber,Jaguar Cosworth,1:33.715,6
2,3,Rubens Barrichello,Ferrari,1:33.756,6
3,4,Juan Pablo Montoya,Williams BMW,1:34.054,7
6,5,Kimi Räikkönen,McLaren Mercedes,1:34.164,6
9,6,Jenson Button,BAR Honda,1:34.221,6
4,7,Ralf Schumacher,Williams BMW,1:34.235,6
7,8,Jarno Trulli,Renault,1:34.413,6
5,9,David Coulthard,McLaren Mercedes,1:34.602,6
16,10,Cristiano da Matta,Toyota,1:34.917,6
12,11,Felipe Massa,Sauber Petronas,1:35.039,6
11,12,Giancarlo Fisichella,Sauber Petronas,1:35.061,6
15,13,Christian Klien,Jaguar Cosworth,1:35.158,6
17,14,Olivier Panis,Toyota,1:35.617,6
18,15,Nick Heidfeld,Jordan Ford,1:36.569,6
20,16,Gianmaria Bruni,Minardi Cosworth,1:38.577,6
21,17,Zsolt Baumgartner,Minardi Cosworth,1:39.272,6
19,18,Giorgio Pantano,Jordan Ford,1:39.902,3
8,19,Fernando Alonso,Renault,1:33.193,5
10,20,Takuma Sato,BAR Honda,1:34.971,5
