,Position,Driver,Car,Time / Gap,Laps
3,1,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:17.801,26
44,2,Lewis Hamilton,Mercedes,+0.131s,40
33,3,Max Verstappen,Red Bull Racing TAG Heuer,+0.163s,17
5,4,Sebastian Vettel,Ferrari,+0.250s,35
7,5,Kimi Räikkönen,Ferrari,+0.341s,40
77,6,Valtteri Bottas,Mercedes,+0.498s,43
14,7,Fernando Alonso,McLaren Honda,+0.707s,26
11,8,Sergio Perez,Force India Mercedes,+0.927s,41
27,9,Nico Hulkenberg,Renault,+0.974s,19
31,10,Esteban Ocon,Force India Mercedes,+1.021s,42
55,11,Carlos Sainz,Renault,+1.259s,30
19,12,Felipe Massa,Williams Mercedes,+1.405s,37
28,13,Brendon Hartley,Toro Rosso,+1.622s,40
18,14,Lance Stroll,Williams Mercedes,+1.723s,42
2,15,Stoffel Vandoorne,McLaren Honda,+2.043s,32
94,16,Pascal Wehrlein,Sauber Ferrari,+2.505s,38
20,17,Kevin Magnussen,Haas Ferrari,+2.517s,35
9,18,Marcus Ericsson,Sauber Ferrari,+2.561s,38
10,19,Pierre Gasly,Toro Rosso,+3.944s,10
8,20,Romain Grosjean,Haas Ferrari,+7.725s,3
