,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,Ferrari,1:17.665,1:16.870,1:16.488,20
33,2,Max Verstappen,Red Bull Racing TAG Heuer,1:17.630,1:16.524,1:16.574,19
44,3,Lewis Hamilton,Mercedes,1:17.518,1:17.035,1:16.934,21
77,4,Valtteri Bottas,Mercedes,1:17.578,1:17.161,1:16.958,17
7,5,Kimi Räikkönen,Ferrari,1:18.148,1:17.534,1:17.238,20
31,6,Esteban Ocon,Force India Mercedes,1:18.336,1:17.827,1:17.437,19
3,7,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:18.208,1:17.631,1:17.447,15
27,8,Nico Hulkenberg,Renault,1:18.322,1:17.792,1:17.466,17
55,9,Carlos Sainz,Renault,1:18.405,1:17.753,1:17.794,17
11,10,Sergio Perez,Force India Mercedes,1:18.020,1:17.868,1:17.807,19
19,11,Felipe Massa,Williams Mercedes,1:18.570,1:18.099,,10
18,12,Lance Stroll,Williams Mercedes,1:18.902,1:19.159,,11
28,13,Brendon Hartley,Toro Rosso,1:18.683,DNF,,12
14,14,Fernando Alonso,McLaren Honda,1:17.710,DNS,,9
2,15,Stoffel Vandoorne,McLaren Honda,1:18.578,DNS,,13
9,16,Marcus Ericsson,Sauber Ferrari,1:19.176,,,9
94,17,Pascal Wehrlein,Sauber Ferrari,1:19.333,,,9
20,18,Kevin Magnussen,Haas Ferrari,1:19.443,,,10
8,19,Romain Grosjean,Haas Ferrari,1:19.473,,,11
