,Position,Driver,Car,Lap,Time
1,1,Alain Prost,McLaren TAG,31,1:59.282
12,2,Ayrton Senna,Lotus Renault,28,1:59.867
5,3,Nigel Mansell,Williams Honda,40,1:59.879
28,4,Stefan Johansson,Ferrari,34,2:00.221
25,5,Rene Arnoux,Ligier Renault,20,2:00.751
27,6,Michele Alboreto,Ferrari,32,2:00.828
20,7,Gerhard Berger,Benetton BMW,25,2:00.877
19,8,Teo Fabi,Benetton BMW,23,2:01.204
7,9,Riccardo Patrese,Brabham BMW,30,2:01.241
3,10,Martin Brundle,Tyrrell Renault,22,2:01.555
15,11,Alan  Jones,Lola Hart,36,2:01.584
26,12,Jacques Laffite,Ligier Renault,35,2:01.655
6,13,Nelson Piquet,Williams Honda,4,2:01.663
4,14,Philippe Streiff,Tyrrell Renault,35,2:03.183
23,15,Andrea de Cesaris,Minardi Motori Moderni,27,2:03.916
14,16,Jonathan  Palmer,Zakspeed,28,2:04.287
17,17,Marc Surer,Arrows BMW,36,2:04.435
2,18,Keke Rosberg,McLaren TAG,2,2:04.546
11,19,Johnny Dumfries,Lotus Renault,6,2:04.781
18,20,Thierry Boutsen,Arrows BMW,2,2:05.545
24,21,Alessandro Nannini,Minardi Motori Moderni,19,2:07.875
29,22,Huub Rothengatter,Zakspeed,7,2:08.018
21,23,Piercarlo Ghinzani,Osella Alfa Romeo,3,2:17.068
22,24,Christian Danner,Osella Alfa Romeo,2,2:34.035
