,Position,Driver,Car,Q1,Q2,Q3,Laps
22,1,Lewis Hamilton,McLaren Mercedes,1:46.887,1:46.088,1:47.338,12
2,2,Felipe Massa,Ferrari,1:46.873,1:46.391,1:47.678,16
23,3,Heikki Kovalainen,McLaren Mercedes,1:46.812,1:46.037,1:47.815,16
1,4,Kimi Räikkönen,Ferrari,1:46.960,1:46.298,1:47.992,14
3,5,Nick Heidfeld,Sauber BMW,1:47.419,1:46.311,1:48.315,18
5,6,Fernando Alonso,Renault,1:47.154,1:46.491,1:48.504,18
10,7,Mark Webber,Red Bull Renault,1:47.270,1:46.814,1:48.736,19
4,8,Robert Kubica,Sauber BMW,1:47.093,1:46.494,1:48.763,20
14,9,Sebastien Bourdais,STR Ferrari,1:46.777,1:46.544,1:48.951,19
15,10,Sebastian Vettel,STR Ferrari,1:47.152,1:46.804,1:50.319,16
11,11,Jarno Trulli,Toyota,1:47.400,1:46.949,,13
6,12,Nelson Piquet,Renault,1:47.052,1:46.965,,15
12,13,Timo Glock,Toyota,1:47.359,1:46.995,,13
9,14,David Coulthard,Red Bull Renault,1:47.132,1:47.018,,15
7,15,Nico Rosberg,Williams Toyota,1:47.503,1:47.429,,12
17,16,Rubens Barrichello,Honda,1:48.153,,,9
16,17,Jenson Button,Honda,1:48.211,,,9
20,18,Adrian Sutil,Force India Ferrari,1:48.226,,,9
8,19,Kazuki Nakajima,Williams Toyota,1:48.268,,,9
21,20,Giancarlo Fisichella,Force India Ferrari,1:48.447,,,9
