,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Kimi Räikkönen,Ferrari,24,1:47.930,233.618
22,2,Lewis Hamilton,McLaren Mercedes,20,1:48.135,233.175
2,3,Felipe Massa,Ferrari,26,1:48.222,232.987
23,4,Heikki Kovalainen,McLaren Mercedes,35,1:48.223,232.985
4,5,Robert Kubica,Sauber BMW,36,1:48.965,231.399
14,6,Sebastien Bourdais,STR Ferrari,31,1:49.002,231.320
3,7,Nick Heidfeld,Sauber BMW,36,1:49.067,231.182
15,8,Sebastian Vettel,STR Ferrari,16,1:49.086,231.142
5,9,Fernando Alonso,Renault,25,1:49.238,230.820
10,10,Mark Webber,Red Bull Renault,34,1:49.515,230.236
9,11,David Coulthard,Red Bull Renault,19,1:50.177,228.853
12,12,Timo Glock,Toyota,37,1:50.255,228.691
20,13,Adrian Sutil,Force India Ferrari,27,1:50.487,228.211
11,14,Jarno Trulli,Toyota,32,1:50.543,228.095
7,15,Nico Rosberg,Williams Toyota,32,1:50.656,227.862
16,16,Jenson Button,Honda,19,1:50.671,227.832
8,17,Kazuki Nakajima,Williams Toyota,35,1:50.970,227.218
6,18,Nelson Piquet,Renault,12,1:51.118,226.915
21,19,Giancarlo Fisichella,Force India Ferrari,17,1:51.701,225.731
17,20,Rubens Barrichello,Honda,10,1:52.072,224.983
