,Position,Driver,Car,Time / Gap
8,1,Ayrton Senna,McLaren Ford,1:26.774
5,2,Michael Schumacher,Benetton Ford,+1.555s
2,3,Alain Prost,Williams Renault,+1.782s
28,4,Gerhard Berger,Ferrari,+1.798s
7,5,Michael Andretti,McLaren Ford,+2.055s
9,6,Derek Warwick,Footwork Mugen Honda,+2.439s
12,7,Johnny Herbert,Lotus Ford,+2.520s
30,8,Jyrki Jarvilehto,Sauber,+2.710s
25,9,Martin Brundle,Ligier Renault,+3.311s
14,10,Rubens Barrichello,Jordan Hart,+3.468s
6,11,Riccardo Patrese,Benetton Ford,+3.868s
20,12,Erik Comas,Larrousse Lamborghini,+4.693s
24,13,Fabrizio Barbazza,Minardi Ford,+4.770s
23,14,Christian Fittipaldi,Minardi Ford,+4.895s
29,15,Karl Wendlinger,Sauber,+5.512s
3,16,Ukyo Katayama,Tyrrell Yamaha,+5.692s
22,17,Luca Badoer,Lola Ferrari,+5.940s
0,18,Damon Hill,Williams Renault,+6.692s
15,19,Thierry Boutsen,Jordan Hart,+6.722s
21,20,Michele Alboreto,Lola Ferrari,+6.971s
4,21,Andrea de Cesaris,Tyrrell Yamaha,+7.270s
11,22,Alessandro Zanardi,Lotus Ford,+7.631s
10,23,Aguri Suzuki,Footwork Mugen Honda,+7.801s
27,24,Jean Alesi,Ferrari,+7.989s
19,25,Philippe Alliot,Larrousse Lamborghini,+14.061s
26,26,Mark Blundell,Ligier Renault,+14.186s
