,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:10.716
0,2,Damon Hill,Williams Renault,+0.459s
8,3,Ayrton Senna,McLaren Ford,+0.836s
5,4,Michael Schumacher,Benetton Ford,+1.931s
30,5,Jyrki Jarvilehto,Sauber,+2.028s
12,6,Johnny Herbert,Lotus Ford,+2.295s
7,7,Michael Andretti,McLaren Ford,+2.378s
19,8,Philippe Alliot,Larrousse Lamborghini,+2.493s
9,9,Derek Warwick,Footwork Mugen Honda,+2.506s
27,10,Jean Alesi,Ferrari,+2.770s
11,11,Alessandro Zanardi,Lotus Ford,+2.799s
6,12,Riccardo Patrese,Benetton Ford,+2.800s
28,13,Gerhard Berger,Ferrari,+2.928s
14,14,Rubens Barrichello,Jordan Hart,+3.050s
23,15,Christian Fittipaldi,Minardi Ford,+3.075s
3,16,Ukyo Katayama,Tyrrell Yamaha,+3.294s
20,17,Erik Comas,Larrousse Lamborghini,+3.350s
26,18,Mark Blundell,Ligier Renault,+3.442s
24,19,Fabrizio Barbazza,Minardi Ford,+3.488s
25,20,Martin Brundle,Ligier Renault,+3.526s
15,21,Thierry Boutsen,Jordan Hart,+4.290s
10,22,Aguri Suzuki,Footwork Mugen Honda,+4.611s
4,23,Andrea de Cesaris,Tyrrell Yamaha,+4.707s
22,24,Luca Badoer,Lola Ferrari,+4.986s
21,25,Michele Alboreto,Lola Ferrari,+5.116s
29,26,Karl Wendlinger,Sauber,+6.220s
