,Position,Driver,Car,Lap,Time
8,1,Ayrton Senna,McLaren Ford,57,1:18.029
0,2,Damon Hill,Williams Renault,55,1:19.379
2,3,Alain Prost,Williams Renault,55,1:19.756
11,4,Alessandro Zanardi,Lotus Ford,51,1:20.801
23,5,Christian Fittipaldi,Minardi Ford,52,1:21.022
9,6,Derek Warwick,Footwork Mugen Honda,54,1:22.061
12,7,Johnny Herbert,Lotus Ford,55,1:22.150
20,8,Erik Comas,Larrousse Lamborghini,52,1:22.200
6,9,Riccardo Patrese,Benetton Ford,54,1:22.279
14,10,Rubens Barrichello,Jordan Hart,55,1:22.307
5,11,Michael Schumacher,Benetton Ford,21,1:22.549
27,12,Jean Alesi,Ferrari,21,1:22.550
26,13,Mark Blundell,Ligier Renault,20,1:24.093
24,14,Fabrizio Barbazza,Minardi Ford,21,1:24.703
19,15,Philippe Alliot,Larrousse Lamborghini,19,1:25.078
15,16,Thierry Boutsen,Jordan Hart,19,1:25.532
28,17,Gerhard Berger,Ferrari,17,1:26.078
4,18,Andrea de Cesaris,Tyrrell Yamaha,51,1:26.419
21,19,Michele Alboreto,Lola Ferrari,19,1:28.023
10,20,Aguri Suzuki,Footwork Mugen Honda,20,1:28.929
25,21,Martin Brundle,Ligier Renault,5,1:33.123
3,22,Ukyo Katayama,Tyrrell Yamaha,5,1:33.528
30,23,Jyrki Jarvilehto,Sauber,2,1:37.749
