,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:14.960,8
5,2,Ralf Schumacher,Williams BMW,1:15.226,12
6,3,Juan Pablo Montoya,Williams BMW,1:15.490,11
2,4,Rubens Barrichello,Ferrari,1:15.622,11
4,5,David Coulthard,McLaren Mercedes,1:15.717,12
3,6,Mika Hakkinen,McLaren Mercedes,1:15.776,12
12,7,Jarno Trulli,Jordan Honda,1:16.138,10
11,8,Heinz-Harald Frentzen,Jordan Honda,1:16.376,11
17,9,Kimi Räikkönen,Sauber Petronas,1:16.402,11
16,10,Nick Heidfeld,Sauber Petronas,1:16.438,11
10,11,Jacques Villeneuve,BAR Honda,1:16.439,12
18,12,Eddie Irvine,Jaguar Cosworth,1:16.588,11
9,13,Olivier Panis,BAR Honda,1:16.872,11
22,14,Jean Alesi,Prost Acer,1:17.251,11
7,15,Giancarlo Fisichella,Benetton Renault,1:17.378,11
19,16,Pedro de la Rosa,Jaguar Cosworth,1:17.627,12
23,17,Luciano Burti,Prost Acer,1:18.113,11
15,18,Enrique Bernoldi,Arrows Asiatech,1:18.151,12
14,19,Jos Verstappen,Arrows Asiatech,1:18.262,11
8,20,Jenson Button,Benetton Renault,1:18.626,11
21,21,Fernando Alonso,Minardi European,1:18.630,11
20,22,Tarso Marques,Minardi European,1:18.689,12
