,Position,Driver,Car,Time
20,1,Jose Froilan Gonzalez,Ferrari,2:39.500
4,2,Juan Manuel Fangio,Mercedes-Benz,2:39.700
32,3,Stirling Moss,Maserati,2:41.400
26,4,Maurice  Trintignant,Ferrari,2:41.700
8,5,Karl Kling,Mercedes-Benz,2:41.900
22,6,Mike Hawthorn,Ferrari,2:43.200
6,7,Hans  Herrmann,Mercedes-Benz,2:45.000
18,8,Ken  Wharton,Maserati,2:46.200
28,9,Sergio Mantovani,Maserati,2:56.900
12,10,Clemar Bucci,Gordini,3:04.100
24,11,Umberto  Maglioli,Ferrari,3:08.200
30,12,Roberto Mieres,Maserati,3:09.300
34,13,Harry Schell,Maserati,3:12.100
10,14,Jean Behra,Gordini,3:16.400
14,15,Fred Wacker,Gordini,3:20.300
2,16,Jacques Swaters,Ferrari,3:20.400
