,Position,Driver,Car,Time
1,1,Sebastian Vettel,Red Bull Racing Renault,1:37.202
10,2,Lewis Hamilton,Mercedes,1:37.420
8,3,Romain Grosjean,Lotus Renault,1:37.531
9,4,Nico Rosberg,Mercedes,1:37.679
3,5,Fernando Alonso,Ferrari,1:38.038
4,6,Felipe Massa,Ferrari,1:38.223
11,7,Nico Hulkenberg,Sauber Ferrari,1:38.237
12,8,Esteban Gutierrez ,Sauber Ferrari,1:38.405
7,9,Kimi Räikkönen,Lotus Renault,1:38.822
6,10,Sergio Perez,McLaren Mercedes,1:38.362
5,11,Jenson Button,McLaren Mercedes,1:38.365
19,12,Daniel Ricciardo,STR Ferrari,1:38.417
2,13,Mark Webber,Red Bull Racing Renault,1:37.464
15,14,Adrian Sutil,Force India Mercedes,1:38.431
14,15,Paul di Resta,Force India Mercedes,1:38.718
18,16,Jean-Eric Vergne,STR Ferrari,1:38.781
17,17,Valtteri Bottas,Williams Renault,1:39.470
16,18,Pastor Maldonado,Williams Renault,1:39.987
20,19,Charles Pic,Caterham Renault,1:40.864
21,20,Giedo van der Garde,Caterham Renault,1:40.871
23,21,Max Chilton,Marussia Cosworth,1:41.322
22,22,Jules Bianchi,Marussia Cosworth,1:41.169
