,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:38.683,1:37.569,1:37.202,13
10,2,Lewis Hamilton,Mercedes,1:38.574,1:37.824,1:37.420,16
2,3,Mark Webber,Red Bull Racing Renault,1:39.138,1:37.840,1:37.464,13
8,4,Romain Grosjean,Lotus Renault,1:39.065,1:38.076,1:37.531,14
9,5,Nico Rosberg,Mercedes,1:38.418,1:38.031,1:37.679,16
3,6,Fernando Alonso,Ferrari,1:38.520,1:37.978,1:38.038,17
4,7,Felipe Massa,Ferrari,1:38.884,1:38.295,1:38.223,16
11,8,Nico Hulkenberg,Sauber Ferrari,1:38.427,1:37.913,1:38.237,17
12,9,Esteban Gutierrez ,Sauber Ferrari,1:38.725,1:38.327,1:38.405,15
7,10,Kimi Räikkönen,Lotus Renault,1:38.341,1:38.181,1:38.822,17
6,11,Sergio Perez,McLaren Mercedes,1:39.049,1:38.362,,14
5,12,Jenson Button,McLaren Mercedes,1:38.882,1:38.365,,14
19,13,Daniel Ricciardo,STR Ferrari,1:38.525,1:38.417,,14
15,14,Adrian Sutil,Force India Mercedes,1:38.988,1:38.431,,15
14,15,Paul di Resta,Force India Mercedes,1:39.185,1:38.718,,15
18,16,Jean-Eric Vergne,STR Ferrari,1:39.075,1:38.781,,13
17,17,Valtteri Bottas,Williams Renault,1:39.470,,,8
16,18,Pastor Maldonado,Williams Renault,1:39.987,,,8
20,19,Charles Pic,Caterham Renault,1:40.864,,,6
21,20,Giedo van der Garde,Caterham Renault,1:40.871,,,6
22,21,Jules Bianchi,Marussia Cosworth,1:41.169,,,6
23,22,Max Chilton,Marussia Cosworth,1:41.322,,,6
