,Position,Driver,Car,Laps,Time,Points
1,1,Sebastian Vettel,Red Bull Racing Renault,55,1:43:13.701,25
7,2,Kimi Räikkönen,Lotus Renault,55,+4.224s,18
8,3,Romain Grosjean,Lotus Renault,55,+4.927s,15
11,4,Nico Hulkenberg,Sauber Ferrari,55,+24.114s,12
10,5,Lewis Hamilton,Mercedes,55,+25.255s,10
3,6,Fernando Alonso,Ferrari,55,+26.189s,8
9,7,Nico Rosberg,Mercedes,55,+26.698s,6
5,8,Jenson Button,McLaren Mercedes,55,+32.262s,4
4,9,Felipe Massa,Ferrari,55,+34.390s,2
6,10,Sergio Perez,McLaren Mercedes,55,+35.155s,1
12,11,Esteban Gutierrez ,Sauber Ferrari,55,+35.990s,0
17,12,Valtteri Bottas,Williams Renault,55,+47.049s,0
16,13,Pastor Maldonado,Williams Renault,55,+50.013s,0
20,14,Charles Pic,Caterham Renault,55,+63.578s,0
21,15,Giedo van der Garde,Caterham Renault,55,+64.501s,0
22,16,Jules Bianchi,Marussia Cosworth,55,+67.970s,0
23,17,Max Chilton,Marussia Cosworth,55,+72.898s,0
18,18,Jean-Eric Vergne,STR Ferrari,53,DNF,0
19,19,Daniel Ricciardo,STR Ferrari,52,DNF,0
15,20,Adrian Sutil,Force India Mercedes,50,DNF,0
2,NC,Mark Webber,Red Bull Racing Renault,36,DNF,0
14,NC,Paul di Resta,Force India Mercedes,24,DNF,0
