,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Sebastian Vettel,Red Bull Racing Renault,53,1:41.380,199.388
8,2,Romain Grosjean,Lotus Renault,46,1:41.936,198.300
7,3,Kimi Räikkönen,Lotus Renault,51,1:41.975,198.225
9,4,Nico Rosberg,Mercedes,54,1:42.471,197.265
10,5,Lewis Hamilton,Mercedes,53,1:42.539,197.134
11,6,Nico Hulkenberg,Sauber Ferrari,53,1:42.608,197.002
3,7,Fernando Alonso,Ferrari,54,1:42.709,196.808
12,8,Esteban Gutierrez ,Sauber Ferrari,55,1:42.744,196.741
19,9,Daniel Ricciardo,STR Ferrari,52,1:42.947,196.353
4,10,Felipe Massa,Ferrari,47,1:42.954,196.340
6,11,Sergio Perez,McLaren Mercedes,47,1:42.973,196.303
5,12,Jenson Button,McLaren Mercedes,45,1:43.073,196.113
2,13,Mark Webber,Red Bull Racing Renault,27,1:43.863,194.621
17,14,Valtteri Bottas,Williams Renault,44,1:43.869,194.610
18,15,Jean-Eric Vergne,STR Ferrari,52,1:44.090,194.197
15,16,Adrian Sutil,Force India Mercedes,43,1:44.095,194.188
16,17,Pastor Maldonado,Williams Renault,43,1:44.136,194.111
21,18,Giedo van der Garde,Caterham Renault,55,1:44.375,193.667
20,19,Charles Pic,Caterham Renault,54,1:44.477,193.477
22,20,Jules Bianchi,Marussia Cosworth,54,1:44.991,192.530
23,21,Max Chilton,Marussia Cosworth,48,1:45.408,191.769
14,22,Paul di Resta,Force India Mercedes,10,1:46.411,189.961
