,Position,Driver,Car,Lap,Time,Avg Speed
12,1,Vitaly Petrov,Renault,57,1:29.165,215.519
6,2,Mark Webber,RBR Renault,54,1:29.195,215.447
17,3,Jaime Alguersuari,STR Ferrari,50,1:29.535,214.628
11,4,Robert Kubica,Renault,57,1:29.580,214.521
16,5,Sebastien Buemi,STR Ferrari,57,1:29.588,214.501
3,6,Michael Schumacher,Mercedes,53,1:29.810,213.971
1,7,Jenson Button,McLaren Mercedes,42,1:29.895,213.769
14,8,Adrian Sutil,Force India Mercedes,55,1:29.959,213.617
4,9,Nico Rosberg,Mercedes,52,1:29.977,213.574
7,10,Felipe Massa,Ferrari,58,1:29.996,213.529
8,11,Fernando Alonso,Ferrari,56,1:30.011,213.493
2,12,Lewis Hamilton,McLaren Mercedes,54,1:30.075,213.342
5,13,Sebastian Vettel,RBR Renault,37,1:30.181,213.091
22,14,Pedro de la Rosa,Sauber Ferrari,50,1:30.421,212.525
10,15,Nico Hulkenberg,Williams Cosworth,51,1:30.620,212.059
23,16,Kamui Kobayashi,Sauber Ferrari,42,1:30.891,211.426
9,17,Rubens Barrichello,Williams Cosworth,53,1:30.933,211.329
15,18,Vitantonio Liuzzi,Force India Mercedes,53,1:31.421,210.201
24,19,Timo Glock,Virgin Cosworth,48,1:32.265,208.278
25,20,Lucas di Grassi,Virgin Cosworth,55,1:33.257,206.062
21,21,Bruno Senna,HRT Cosworth,35,1:34.247,203.898
19,22,Heikki Kovalainen,Lotus Cosworth,26,1:34.363,203.647
18,23,Jarno Trulli,Lotus Cosworth,26,1:34.463,203.432
20,24,Karun Chandhok,HRT Cosworth,37,1:34.585,203.169
