,Position,Driver,Car,Time / Gap,Laps
2,1,Lewis Hamilton,McLaren Mercedes,1:28.653,20
1,2,Jenson Button,McLaren Mercedes,+0.962s,21
3,3,Michael Schumacher,Mercedes,+1.097s,24
4,4,Nico Rosberg,Mercedes,+1.202s,25
5,5,Sebastian Vettel,RBR Renault,+1.214s,30
11,6,Robert Kubica,Renault,+1.408s,23
12,7,Vitaly Petrov,Renault,+1.412s,24
6,8,Mark Webber,RBR Renault,+1.444s,26
8,9,Fernando Alonso,Ferrari,+1.641s,20
14,10,Adrian Sutil,Force India Mercedes,+1.848s,17
23,11,Kamui Kobayashi,Sauber Ferrari,+1.962s,20
15,12,Vitantonio Liuzzi,Force India Mercedes,+2.200s,21
7,13,Felipe Massa,Ferrari,+2.214s,22
16,14,Sebastien Buemi,STR Ferrari,+2.358s,24
22,15,Pedro de la Rosa,Sauber Ferrari,+2.585s,18
10,16,Nico Hulkenberg,Williams Cosworth,+2.702s,23
9,17,Rubens Barrichello,Williams Cosworth,+2.811s,19
17,18,Jaime Alguersuari,STR Ferrari,+3.082s,27
19,19,Heikki Kovalainen,Lotus Cosworth,+3.508s,24
18,20,Jarno Trulli,Lotus Cosworth,+4.337s,23
20,21,Karun Chandhok,HRT Cosworth,+6.223s,13
25,22,Lucas di Grassi,Virgin Cosworth,+6.484s,21
24,23,Timo Glock,Virgin Cosworth,+6.930s,15
21,24,Sakon Yamamoto,HRT Cosworth,+7.484s,26
