,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:18.402
0,2,Damon Hill,Williams Renault,+0.289s
29,3,Karl Wendlinger,Sauber,+1.431s
20,4,Erik Comas,Larrousse Lamborghini,+1.510s
8,5,Ayrton Senna,McLaren Ford,+1.536s
12,6,Johnny Herbert,Lotus Ford,+1.685s
5,7,Michael Schumacher,Benetton Ford,+1.765s
19,8,Philippe Alliot,Larrousse Lamborghini,+1.918s
30,9,Jyrki Jarvilehto,Sauber,+2.087s
27,10,Jean Alesi,Ferrari,+2.329s
6,11,Riccardo Patrese,Benetton Ford,+2.356s
7,12,Michael Andretti,McLaren Ford,+2.362s
25,13,Martin Brundle,Ligier Renault,+2.804s
28,14,Gerhard Berger,Ferrari,+3.098s
23,15,Christian Fittipaldi,Minardi Ford,+3.149s
9,16,Derek Warwick,Footwork Mugen Honda,+3.291s
3,17,Ukyo Katayama,Tyrrell Yamaha,+3.420s
24,18,Fabrizio Barbazza,Minardi Ford,+3.444s
4,19,Andrea de Cesaris,Tyrrell Yamaha,+3.785s
10,20,Aguri Suzuki,Footwork Mugen Honda,+3.808s
26,21,Mark Blundell,Ligier Renault,+3.913s
21,22,Michele Alboreto,Lola Ferrari,+3.983s
14,23,Rubens Barrichello,Jordan Hart,+4.052s
11,24,Alessandro Zanardi,Lotus Ford,+4.286s
22,25,Luca Badoer,Lola Ferrari,+4.820s
15,26,Ivan Capelli,Jordan Hart,+62.118s
