,Position,Driver,Car,Laps,Time,Points
10,1,Juan Pablo Montoya,McLaren Mercedes,53,1:14:28.659,10
5,2,Fernando Alonso,Renault,53,+2.479s,8
6,3,Giancarlo Fisichella,Renault,53,+17.975s,6
9,4,Kimi Räikkönen,McLaren Mercedes,53,+22.775s,5
16,5,Jarno Trulli,Toyota,53,+33.786s,4
17,6,Ralf Schumacher,Toyota,53,+43.925s,3
8,7,Antonio Pizzonia,Williams BMW,53,+44.643s,2
3,8,Jenson Button,BAR Honda,53,+63.635s,1
12,9,Felipe Massa,Sauber Petronas,53,+75.413s,0
1,10,Michael Schumacher,Ferrari,53,+96.070s,0
11,11,Jacques Villeneuve,Sauber Petronas,52,+1 lap,0
2,12,Rubens Barrichello,Ferrari,52,+1 lap,0
15,13,Christian Klien,RBR Cosworth,52,+1 lap,0
7,14,Mark Webber,Williams BMW,52,+1 lap,0
14,15,David Coulthard,RBR Cosworth,52,+1 lap,0
4,16,Takuma Sato,BAR Honda,52,+1 lap,0
18,17,Tiago Monteiro,Jordan Toyota,51,+2 laps,0
20,18,Robert Doornbos,Minardi Cosworth,51,+2 laps,0
21,19,Christijan Albers,Minardi Cosworth,51,+2 laps,0
19,20,Narain Karthikeyan,Jordan Toyota,50,+3 laps,0
