,Position,Driver,Car,Time,Laps
9,1,Kimi Räikkönen,McLaren Mercedes,1:20.878,3
10,2,Juan Pablo Montoya,McLaren Mercedes,1:21.054,3
5,3,Fernando Alonso,Renault,1:21.319,3
3,4,Jenson Button,BAR Honda,1:21.369,3
4,5,Takuma Sato,BAR Honda,1:21.477,3
16,6,Jarno Trulli,Toyota,1:21.640,3
1,7,Michael Schumacher,Ferrari,1:21.721,3
2,8,Rubens Barrichello,Ferrari,1:21.962,3
6,9,Giancarlo Fisichella,Renault,1:22.068,3
17,10,Ralf Schumacher,Toyota,1:22.266,3
14,11,David Coulthard,RBR Cosworth,1:22.304,3
11,12,Jacques Villeneuve,Sauber Petronas,1:22.356,3
15,13,Christian Klien,RBR Cosworth,1:22.532,3
7,14,Mark Webber,Williams BMW,1:22.560,3
12,15,Felipe Massa,Sauber Petronas,1:23.060,3
8,16,Antonio Pizzonia,Williams BMW,1:23.291,3
18,17,Tiago Monteiro,Jordan Toyota,1:24.666,3
20,18,Robert Doornbos,Minardi Cosworth,1:24.904,3
19,19,Narain Karthikeyan,Jordan Toyota,1:25.859,3
21,20,Christijan Albers,Minardi Cosworth,1:26.964,3
