,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Benetton Renault,1:31.376,21
5,2,Damon Hill,Williams Renault,+0.219s,20
6,3,David Coulthard,Williams Renault,+0.760s,20
27,4,Jean Alesi,Ferrari,+1.007s,22
8,5,Mika Hakkinen,McLaren Mercedes,+1.064s,21
15,6,Eddie Irvine,Jordan Peugeot,+2.134s,23
28,7,Gerhard Berger,Ferrari,+2.178s,20
14,8,Rubens Barrichello,Jordan Peugeot,+2.704s,8
26,9,Olivier Panis,Ligier Mugen Honda,+2.798s,18
4,10,Mika Salo,Tyrrell Yamaha,+2.934s,19
7,11,Mark Blundell,McLaren Mercedes,+2.941s,22
30,12,Heinz-Harald Frentzen,Sauber Ford,+3.500s,23
25,13,Aguri Suzuki,Ligier Mugen Honda,+3.753s,20
2,14,Johnny Herbert,Benetton Renault,+3.996s,13
9,15,Gianni Morbidelli,Footwork Hart,+4.126s,13
10,16,Taki Inoue,Footwork Hart,+4.261s,20
29,17,Karl Wendlinger,Sauber Ford,+4.283s,23
3,18,Ukyo Katayama,Tyrrell Yamaha,+4.293s,16
12,19,Jos Verstappen,Simtek Ford,+5.658s,11
23,20,Pierluigi Martini,Minardi Ford,+5.960s,14
17,21,Andrea Montermini,Pacific Ilmor,+6.012s,18
24,22,Luca Badoer,Minardi Ford,+6.786s,6
22,23,Roberto Moreno,Forti Ford,+6.943s,13
16,24,Bertrand Gachot,Pacific Ilmor,+6.979s,19
11,25,Domenico Schiattarella,Simtek Ford,+7.257s,14
21,26,Pedro Diniz,Forti Ford,+7.835s,23
