,Position,Driver,Car,Time
6,1,David Coulthard,Williams Renault,1:53.241
5,2,Damon Hill,Williams Renault,1:54.057
1,3,Michael Schumacher,Benetton Renault,1:54.272
15,4,Eddie Irvine,Jordan Peugeot,1:54.381
8,5,Mika Hakkinen,McLaren Mercedes,1:54.529
27,6,Jean Alesi,Ferrari,1:54.637
4,7,Mika Salo,Tyrrell Yamaha,1:54.757
28,8,Gerhard Berger,Ferrari,1:55.276
30,9,Heinz-Harald Frentzen,Sauber Ford,1:55.583
14,10,Rubens Barrichello,Jordan Peugeot,1:56.114
2,11,Johnny Herbert,Benetton Renault,1:57.068
9,12,Gianni Morbidelli,Footwork Hart,1:57.092
24,13,Luca Badoer,Minardi Ford,1:57.167
12,14,Jos Verstappen,Simtek Ford,1:57.231
3,15,Ukyo Katayama,Tyrrell Yamaha,1:57.484
23,16,Pierluigi Martini,Minardi Ford,1:58.066
7,17,Mark Blundell,McLaren Mercedes,1:58.660
26,18,Olivier Panis,Ligier Mugen Honda,1:58.824
25,19,Aguri Suzuki,Ligier Mugen Honda,1:58.882
11,20,Domenico Schiattarella,Simtek Ford,1:59.539
29,21,Karl Wendlinger,Sauber Ford,2:00.751
17,22,Andrea Montermini,Pacific Ilmor,2:01.763
16,23,Bertrand Gachot,Pacific Ilmor,2:04.050
22,24,Roberto Moreno,Forti Ford,2:04.481
21,25,Pedro Diniz,Forti Ford,2:05.932
10,26,Taki Inoue,Footwork Hart,2:07.298
