,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Benetton Renault,55,1:30.522
5,2,Damon Hill,Williams Renault,21,1:31.253
27,3,Jean Alesi,Ferrari,25,1:31.453
28,4,Gerhard Berger,Ferrari,65,1:31.868
6,5,David Coulthard,Williams Renault,3,1:32.095
2,6,Johnny Herbert,Benetton Renault,32,1:33.082
4,7,Mika Salo,Tyrrell Yamaha,28,1:33.636
14,8,Rubens Barrichello,Jordan Peugeot,26,1:33.810
26,9,Olivier Panis,Ligier Mugen Honda,27,1:33.953
25,10,Aguri Suzuki,Ligier Mugen Honda,26,1:34.049
3,11,Ukyo Katayama,Tyrrell Yamaha,5,1:34.106
30,12,Heinz-Harald Frentzen,Sauber Ford,4,1:34.331
9,13,Gianni Morbidelli,Footwork Hart,26,1:34.396
7,14,Mark Blundell,McLaren Mercedes,5,1:34.963
15,15,Eddie Irvine,Jordan Peugeot,4,1:35.070
10,16,Taki Inoue,Footwork Hart,30,1:35.325
12,17,Jos Verstappen,Simtek Ford,5,1:35.353
23,18,Pierluigi Martini,Minardi Ford,5,1:35.837
11,19,Domenico Schiattarella,Simtek Ford,27,1:35.945
21,20,Pedro Diniz,Forti Ford,4,1:40.683
22,21,Roberto Moreno,Forti Ford,4,1:40.730
