,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:15.658,8
2,2,Rubens Barrichello,Ferrari,+0.375s,8
35,3,Anthony Davidson,BAR Honda,+0.958s,26
38,4,Ricardo Zonta,Toyota,+0.981s,26
9,5,Jenson Button,BAR Honda,+1.402s,6
4,6,Ralf Schumacher,Williams BMW,+1.507s,12
8,7,Fernando Alonso,Renault,+1.771s,11
10,8,Takuma Sato,BAR Honda,+1.823s,6
17,9,Olivier Panis,Toyota,+1.831s,6
6,10,Kimi Räikkönen,McLaren Mercedes,+1.905s,5
3,11,Juan Pablo Montoya,Williams BMW,+1.977s,10
14,12,Mark Webber,Jaguar Cosworth,+2.105s,11
5,13,David Coulthard,McLaren Mercedes,+2.315s,7
7,14,Jarno Trulli,Renault,+2.683s,16
16,15,Cristiano da Matta,Toyota,+2.704s,12
37,16,Bjorn Wirdheim,Jaguar Cosworth,+2.945s,20
15,17,Christian Klien,Jaguar Cosworth,+2.957s,14
39,18,Timo Glock,Jordan Ford,+2.997s,23
12,19,Felipe Massa,Sauber Petronas,+3.102s,11
11,20,Giancarlo Fisichella,Sauber Petronas,+3.228s,12
18,21,Nick Heidfeld,Jordan Ford,+3.540s,16
19,22,Giorgio Pantano,Jordan Ford,+4.267s,14
20,23,Gianmaria Bruni,Minardi Cosworth,+5.200s,16
40,24,Bas Leinders,Minardi Cosworth,+5.395s,21
21,25,Zsolt Baumgartner,Minardi Cosworth,+5.877s,17
