,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,37,1:45.149,205.525,17:24:41
44,2,Lewis Hamilton,Mercedes,35,1:45.412,205.012,17:21:29
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,34,1:45.419,204.999,17:19:47
5,4,Sebastian Vettel,Ferrari,38,1:45.530,204.783,17:26:39
33,5,Max Verstappen,Red Bull Racing TAG Heuer,31,1:45.771,204.316,17:14:28
11,6,Sergio Perez,Force India Mercedes,51,1:46.206,203.480,17:57:30
7,7,Kimi Räikkönen,Ferrari,50,1:46.523,202.874,17:55:42
18,8,Lance Stroll,Williams Mercedes,50,1:46.815,202.319,17:55:49
55,9,Carlos Sainz,Renault,50,1:46.856,202.242,17:55:46
8,10,Romain Grosjean,Haas Ferrari,34,1:46.880,202.196,17:20:21
16,11,Charles Leclerc,Sauber Ferrari,31,1:47.403,201.212,17:15:12
14,12,Fernando Alonso,McLaren Renault,32,1:47.449,201.126,17:17:09
2,13,Stoffel Vandoorne,McLaren Renault,50,1:47.666,200.720,17:55:52
9,14,Marcus Ericsson,Sauber Ferrari,51,1:47.925,200.239,17:57:45
10,15,Pierre Gasly,Scuderia Toro Rosso Honda,38,1:48.035,200.035,17:28:45
20,16,Kevin Magnussen,Haas Ferrari,35,1:48.155,199.813,17:23:03
28,17,Brendon Hartley,Scuderia Toro Rosso Honda,51,1:48.288,199.567,17:57:44
27,18,Nico Hulkenberg,Renault,10,1:48.867,198.506,16:36:51
