,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,Ferrari,1:42.762,1:43.015,1:41.498,19
44,2,Lewis Hamilton,Mercedes,1:42.693,1:42.676,1:41.677,21
77,3,Valtteri Bottas,Mercedes,1:43.355,1:42.679,1:41.837,21
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:42.857,1:43.482,1:41.911,20
33,5,Max Verstappen,Red Bull Racing TAG Heuer,1:42.642,1:42.901,1:41.994,19
7,6,Kimi Räikkönen,Ferrari,1:42.538,1:42.510,1:42.490,20
31,7,Esteban Ocon,Force India Mercedes,1:43.021,1:42.967,1:42.523,20
11,8,Sergio Perez,Force India Mercedes,1:43.992,1:43.366,1:42.547,20
27,9,Nico Hulkenberg,Renault,1:43.746,1:43.232,1:43.066,20
55,10,Carlos Sainz,Renault,1:43.426,1:43.464,1:43.351,20
18,11,Lance Stroll,Williams Mercedes,1:44.359,1:43.585,,16
35,12,Sergey Sirotkin,Williams Mercedes,1:44.261,1:43.886,,17
14,13,Fernando Alonso,McLaren Renault,1:44.010,1:44.019,,16
16,14,Charles Leclerc,Sauber Ferrari,1:43.752,1:44.074,,17
20,15,Kevin Magnussen,Haas Ferrari,1:43.674,1:44.759,,14
2,16,Stoffel Vandoorne,McLaren Renault,1:44.489,,,8
10,17,Pierre Gasly,Scuderia Toro Rosso Honda,1:44.496,,,9
9,18,Marcus Ericsson,Sauber Ferrari,1:45.541,,,10
28,NC,Brendon Hartley,Scuderia Toro Rosso Honda,1:57.354,,,5
8,NC,Romain Grosjean,Haas Ferrari,DNF,,,2
